,joystick,executed
0,"[0.0, -0.0]",[0.0008791536092758]
1,"[0.0, -0.0]",[0.0008791536092758]
2,"[0.0, -0.0]",[0.0008791536092758]
3,"[0.0, -0.0]",[0.0008791536092758]
4,"[0.0, -0.0]",[0.0007974989464163531]
5,"[0.0, -0.0]",[0.0009484246978828042]
6,"[0.0, -0.0]",[0.0002461676663381156]
7,"[0.0, -0.0]",[0.0008966481791484701]
8,"[0.0, -0.0]",[-0.0009033443914972588]
9,"[0.0, -0.0]",[0.00017358812964666864]
10,"[0.0, 0.0]",[9.36264335835409e-05]
11,"[0.0, 0.0]",[-0.0003973655100876709]
12,"[0.0, 0.0]",[0.0005666343734851327]
13,"[0.0, 0.0]",[-0.0006170767794569652]
14,"[0.0, 0.0]",[0.0006572103175968066]
15,"[0.0, 0.0]",[0.0016984762087936644]
16,"[0.0, 0.0]",[0.00018968006444890803]
17,"[0.0, 0.0]",[-0.00019084077118285343]
18,"[0.08684028562130303, 0.0]",[0.00046352044361632795]
19,"[0.6154770969193524, 0.0]",[-7.631889833349973e-05]
20,"[0.9549908866730996, 0.0]",[0.0014188222660995596]
21,"[1.01179245334572, 0.0]",[0.0003647828191852134]
22,"[1.4042291931319932, 0.0]",[0.0005771948524024263]
23,"[1.9160564521286816, 0.0]",[0.000699879502371117]
24,"[2.363520160687196, 0.0]",[-0.03105346537716797]
25,"[2.8150095213642294, 0.0]",[-0.1580319826856988]
26,"[3.2632421208328592, 0.0]",[-0.021685530495468924]
27,"[3.7121973914483872, 0.0]",[-0.12963511615264112]
28,"[4.040441797427955, 0.0]",[-0.280733317859337]
29,"[4.073935772964899, 0.0]",[-0.5027257346483088]
30,"[4.073935772964899, 0.0]",[-0.5460104103663175]
31,"[4.073935772964899, 0.0]",[-0.7286175768404525]
32,"[4.073935772964899, 0.0]",[-0.8273157918525527]
33,"[4.073935772964899, 0.0]",[-0.907598410793338]
34,"[4.073935772964899, 0.0]",[-0.8927941053577169]
35,"[4.073935772964899, 0.0]",[-0.5193889396200528]
36,"[4.073935772964899, 0.0]",[-0.11360455184464321]
37,"[4.073935772964899, 0.02067247199267357]",[0.4376812534270885]
38,"[4.073935772964899, 0.5071369992522522]",[0.8367407830752717]
39,"[4.073935772964899, 0.0]",[0.923201008447418]
40,"[4.073935772964899, 0.0]",[0.9385009865402862]
41,"[4.073935772964899, 0.0]",[0.9301385770857858]
42,"[4.073935772964899, 0.0842587608576914]",[0.9676516234893646]
43,"[4.073935772964899, 0.5113068894522297]",[0.9552428383075291]
44,"[4.073935772964899, 0.6813172354973224]",[0.9384999246543829]
45,"[4.073935772964899, 1.2766444280429965]",[0.9239121286609616]
46,"[4.073935772964899, 2.726971764557229]",[0.9369198441865003]
47,"[4.073935772964899, 0.0]",[0.9432297487400194]
48,"[4.073935772964899, 0.0]",[0.9317777764806144]
49,"[4.073935772964899, 0.0]",[0.962225215957116]
50,"[4.073935772964899, 0.0]",[0.9367672259315578]
51,"[4.073935772964899, 0.0]",[0.9244931529649315]
52,"[4.073935772964899, 0.0]",[0.8921783381778058]
53,"[4.073935772964899, -0.041400298072849]",[0.8937558285710958]
54,"[4.073935772964899, -1.2161725480126861]",[0.933416723010611]
55,"[4.073935772964899, -1.344938321405016]",[0.8972655300758782]
56,"[4.073935772964899, 0.0]",[0.9232352259685567]
57,"[4.073935772964899, 0.0]",[0.9031366209858621]
58,"[4.073935772964899, 0.0]",[0.8539379220461043]
59,"[4.073935772964899, 0.0]",[0.909979901225943]
60,"[4.073935772964899, 0.0]",[0.8869037271918597]
61,"[4.073935772964899, -0.8397528013810285]",[0.8950758383247167]
62,"[4.073935772964899, -0.8580766556648036]",[0.8852472956341263]
63,"[4.073935772964899, 0.0]",[0.9084531994443029]
64,"[4.073935772964899, 0.0]",[0.8891655629911718]
65,"[4.073935772964899, 0.0]",[0.8829430011485797]
66,"[4.073935772964899, 0.0]",[0.9006662273662674]
67,"[4.073935772964899, 0.0]",[0.8922066905384266]
68,"[4.073935772964899, 0.0]",[0.900819688221756]
69,"[4.073935772964899, 0.0]",[0.8430296374739301]
70,"[4.073935772964899, 0.0]",[0.9198603968549527]
71,"[4.073935772964899, 0.0]",[0.8436723774941643]
72,"[4.073935772964899, 0.0]",[0.8838013706600856]
73,"[4.073935772964899, 0.0]",[0.8991160380561787]
74,"[4.073935772964899, 0.0]",[0.876145558127789]
75,"[4.073935772964899, 0.0]",[0.9187002113914371]
76,"[4.073935772964899, 0.0]",[0.9089447272494071]
77,"[4.073935772964899, 0.0]",[0.8873741607516283]
78,"[4.073935772964899, 0.0]",[0.8564327414901608]
79,"[4.073935772964899, 0.0]",[0.9016029491732659]
80,"[4.073935772964899, 0.39734146113792]",[0.87945039358596]
81,"[4.073935772964899, 0.2126050919400575]",[0.8707875860388767]
82,"[4.073935772964899, 0.0]",[0.9004070920668246]
83,"[4.073935772964899, 0.0]",[0.8548377294826883]
84,"[4.073935772964899, 0.4483037503637964]",[0.8715875942762906]
85,"[4.073935772964899, 0.06025960476609213]",[0.883485948234217]
86,"[4.073935772964899, 0.0]",[0.8678793897818347]
87,"[4.073935772964899, 0.7212522353280582]",[0.8916425626474105]
88,"[4.073935772964899, 2.1204078376958186]",[0.884987035549089]
89,"[4.073935772964899, 0.0]",[0.87787096015029]
90,"[4.073935772964899, 0.0]",[0.9108423974865341]
91,"[4.073935772964899, 0.0]",[0.836938969649266]
92,"[4.073935772964899, 0.0]",[0.9039183280513828]
93,"[4.073935772964899, 0.0]",[0.8770742475517772]
94,"[4.073935772964899, 0.0]",[0.8526614993448214]
95,"[4.073935772964899, 0.0]",[0.8985691495987921]
96,"[4.073935772964899, -0.1713382998448579]",[0.8713875005568565]
97,"[4.073935772964899, -2.256354178486274]",[0.8649661006947056]
98,"[4.073935772964899, 0.0]",[0.88618629460038]
99,"[4.073935772964899, 0.0]",[0.8652402339809189]
100,"[4.073935772964899, 0.0]",[0.8789197203445376]
101,"[4.073935772964899, 0.0]",[0.9080753547658673]
