,joystick,executed
0,"[0.0, -0.0]",[-0.0005641877651214]
1,"[0.0, -0.0]",[-0.0005641877651214]
2,"[0.0, -0.0]",[-0.0005641877651214]
3,"[0.0, -0.0]",[-0.0008666870024771067]
4,"[0.0, -0.0]",[-0.0007730796992798781]
5,"[0.0, -0.0]",[-0.0006321689382315563]
6,"[0.0, -0.0]",[-0.0015854162379165902]
7,"[0.0, 0.0]",[-0.00011194448356932118]
8,"[0.0, 0.0]",[-0.0010561871212353031]
9,"[0.0, 0.0]",[-0.0009911110154852487]
10,"[0.0, 0.0]",[-0.0003962841599680969]
11,"[0.0, 0.0]",[-9.440329130829732e-05]
12,"[0.0, 0.0]",[-0.0002385420628134913]
13,"[0.0, 0.0]",[-3.015405285138875e-06]
14,"[0.0, 0.0]",[-0.0002069337864363112]
15,"[0.0, 0.0]",[-0.0006777871601376542]
16,"[0.0, 0.0]",[-0.0004356037013165203]
17,"[0.0, 0.0]",[-0.0012833113490953857]
18,"[0.0, 0.0]",[0.0001434079019116264]
19,"[0.0, 0.0]",[0.0004259152599053233]
20,"[0.0, 0.0]",[-0.0006959883162133472]
21,"[0.0, 0.0]",[-0.0004380069937439024]
22,"[0.0, 0.0]",[-0.0013102863906150038]
23,"[0.0, 0.0]",[-0.0005144669189642225]
24,"[0.0, 0.0]",[-0.0008086346105741766]
25,"[0.0, 0.0]",[-0.0002927336002745214]
26,"[0.0, 0.0]",[-0.0014082754847466812]
27,"[0.0, 0.0]",[-0.0014752466458535338]
28,"[0.0, 0.0]",[-0.0006830621164770338]
29,"[0.0, 0.0]",[-0.0002498814466567706]
30,"[0.0, 0.0]",[0.00028999654219961327]
31,"[0.0, 0.0]",[-0.0006018465085459075]
32,"[0.0, 0.0]",[-0.00022199943304960362]
33,"[0.0, 0.0]",[-0.00017641184488849176]
34,"[0.0, 0.0]",[-0.0009170269246213828]
35,"[0.0, 0.0]",[-0.0007291395153282503]
36,"[0.0, 0.0]",[-0.0003673717269141605]
37,"[0.0, 0.0]",[-0.00032346253150466824]
38,"[0.0, 0.0]",[-0.0003327529661677347]
39,"[0.0, 0.0]",[-0.0010474760384231161]
40,"[0.0, 0.0]",[-0.00010523279365446422]
41,"[0.0, 0.0]",[0.00035162013403983313]
42,"[0.0, 0.0]",[-0.0009610494344387464]
43,"[0.0, 0.0]",[-0.013284416696770347]
44,"[0.1481387840210066, -0.11674704234343203]",[-0.15389307730687973]
45,"[0.6605986429614361, -0.5206127365734028]",[-0.03090313678725276]
46,"[0.970271940932799, -0.7646638935328541]",[-0.04311924791047049]
47,"[1.0, -0.7880923494476428]",[-0.07693469047944293]
48,"[1.0, -0.7880923494476428]",[-0.3352620279096359]
49,"[1.0, -0.7880923494476428]",[-0.507255317022097]
50,"[1.0, -0.7880923494476428]",[-0.6124639694392969]
51,"[1.0, -0.7880923494476428]",[-0.7806892560048923]
52,"[1.0, -0.41390006432835397]",[-0.41373364504505716]
53,"[1.0, 0.0]",[-0.16347583528305978]
54,"[1.0, 0.0]",[-0.09571890020566276]
55,"[1.0, 0.0]",[-0.07582616189294676]
56,"[1.0, 0.0]",[-0.0946977328874079]
57,"[1.0, 0.0]",[-0.08491589460031597]
58,"[1.0, 0.0]",[-0.06747708449765566]
59,"[1.0, 0.0]",[-0.05575133310620888]
60,"[1.0, 0.0]",[-0.09079211260305341]
61,"[1.0, 0.0]",[-0.08430743777945687]
62,"[1.0, 0.0]",[-0.04811359942819114]
63,"[1.0, 0.0]",[-0.06048578459575636]
64,"[1.0, 0.0]",[-0.027947513504679736]
65,"[1.0543232870901245, 0.0]",[-0.04727890378304972]
66,"[1.4645714067434066, 0.0]",[-0.0532292382064828]
67,"[1.8127625266320266, 0.0]",[-0.04107650170244877]
68,"[2.0, 0.0]",[0.08902496730678906]
69,"[2.0, 1.1642299549707094]",[0.6900601000076303]
70,"[2.0, 1.5761846988952857]",[1.2979166310709687]
71,"[2.0, 1.5761846988952857]",[1.5280571830778495]
72,"[2.0, 1.5761846988952857]",[1.5609163124861738]
73,"[2.0, 1.5761846988952857]",[1.593079824782777]
74,"[2.0, 1.5761846988952857]",[1.6127459485490698]
75,"[2.0, 1.5761846988952857]",[1.6013600593262005]
76,"[2.0, 1.5761846988952857]",[1.6599939184889483]
77,"[2.0, 1.5761846988952857]",[1.630131584520932]
78,"[2.0, 1.5761846988952857]",[1.6122178573711299]
79,"[2.0, 1.5761846988952857]",[1.6081942826065962]
80,"[2.0, 1.5761846988952857]",[1.609701741876924]
