,joystick,executed
0,"[0.0, -0.0]",[0.0005630091752152991]
1,"[0.0, -0.0]",[0.0004094816396721146]
2,"[0.0, -0.0]",[0.0009714207824731814]
3,"[0.0, -0.0]",[0.0005679786559807524]
4,"[0.0, 0.0]",[0.00039463764139263815]
5,"[0.0, 0.0]",[0.0004653900168775703]
6,"[0.0, 0.0]",[0.0009696931273723943]
7,"[0.0, 0.0]",[0.0003183199175044341]
8,"[0.0, 0.0]",[6.06358656803801e-05]
9,"[0.0, 0.0]",[-0.00024172731730142565]
10,"[0.0, 0.0]",[0.0007247903529512807]
11,"[0.0, 0.0]",[0.0009445057718757291]
12,"[0.0, 0.0]",[0.0007863094427922042]
13,"[0.0, 0.0]",[0.00017665790829894172]
14,"[0.0, 0.0]",[0.0004349114031073606]
15,"[0.0, 0.0]",[0.0002588966969748715]
16,"[0.0, 0.0]",[-7.643803964174384e-05]
17,"[0.0, 0.0]",[0.0006870941801554474]
18,"[0.0, 0.0]",[0.0012343716901455355]
19,"[0.0, 0.0]",[0.0003486712524951]
20,"[0.0, 0.0]",[0.0005319247621086103]
21,"[0.0, 0.0]",[0.0006678339361233806]
22,"[0.0, 0.0]",[0.0006131559390122217]
23,"[0.0, 0.0]",[0.0009805806033047998]
24,"[0.0, 0.0]",[0.0005709223328999486]
25,"[0.0, 0.0]",[0.0003518612284842019]
26,"[0.0, 0.0]",[0.0012372199618534557]
27,"[0.0, 0.0]",[-0.00016753392036140095]
28,"[0.0, 0.0]",[0.0007309278573298079]
29,"[0.0, 0.0]",[0.000370909252984695]
30,"[0.0, 0.0]",[0.0003872052708306854]
31,"[0.0, 0.0]",[0.020351108164464664]
32,"[0.0, 0.0]",[-0.006090679772519625]
33,"[0.20537479921937632, 0.0]",[-0.004128969096747822]
34,"[0.730190394511151, 0.0]",[3.1918590068369303e-05]
35,"[0.9932603538457141, 0.0]",[-0.0003321889929897286]
36,"[1.0, 0.0]",[-0.08325784800114941]
37,"[1.0, -0.2839771862127482]",[-0.1964862247961871]
38,"[1.0, -0.7586665116207147]",[-0.32117412838308956]
39,"[1.0, -0.7880923494476428]",[-0.2566097058430593]
40,"[1.0, -0.6809635677102865]",[-0.14266263799435994]
41,"[1.0, 0.0]",[-0.10658759097772091]
42,"[1.0, 0.0]",[-0.07400712137944583]
43,"[1.0, 0.0]",[-0.05509959661999223]
44,"[1.0, 0.0]",[-0.06409168555568898]
45,"[1.0, 0.0]",[-0.08169341183373204]
46,"[1.0, 0.0]",[-0.06987468929654797]
47,"[1.0, -0.20570719174263102]",[-0.44800508186426746]
48,"[1.0, -0.6464168730473165]",[-0.8749607247288174]
49,"[1.0, -0.7880923494476428]",[-0.9057560752081456]
50,"[1.0, -0.7880923494476428]",[-0.8965271985984311]
51,"[1.0, -0.7880923494476428]",[-0.6344027346137718]
52,"[1.0, -0.07562556811518628]",[-0.19209662516669748]
53,"[1.0, 0.0]",[-0.09452550651929355]
54,"[1.0, -0.1481429732667312]",[-0.3490725388368243]
55,"[1.0, -0.6729569573544285]",[-0.7714875665794395]
56,"[1.0, -0.7880923494476428]",[-0.6027529945338154]
57,"[1.0, -0.5542780813288173]",[-0.17846996342302807]
58,"[1.0, 0.0]",[-0.07353834241531536]
