,joystick,executed
0,"[0.0, -0.0]",[-0.0003953501582145]
1,"[0.0, -0.0]",[-0.0003953501582145]
2,"[0.0, -0.0]",[-0.0003953501582145]
3,"[0.0, -0.0]",[-0.0003953501582145]
4,"[0.0, -0.0]",[-0.0003953501582145]
5,"[0.0, -0.0]",[-0.0003953501582145]
6,"[0.0, -0.0]",[-0.0003953501582145]
7,"[0.0, -0.0]",[-0.00038552462070255326]
8,"[0.0, -0.0]",[-0.00039495790713389874]
9,"[0.0, -0.0]",[4.0251398531606484e-05]
10,"[0.0, -0.0]",[-0.00044621295694355985]
11,"[0.0, 0.0]",[0.0005621188847723704]
12,"[0.0, 0.0]",[0.0005812390451996605]
13,"[0.0, 0.0]",[0.00026634182084903747]
14,"[0.0, 0.0]",[3.7452249532831294e-05]
15,"[0.0, 0.0]",[-0.0004742542032413879]
16,"[0.0, 0.0]",[-5.5124533220841365e-05]
17,"[0.0, 0.0]",[-0.000194121730801408]
18,"[0.0, 0.0]",[0.0004347134390786995]
19,"[0.0, 0.0]",[0.0007838447752318712]
20,"[0.0, 0.0]",[-0.00016712013038094122]
21,"[0.0, 0.0]",[0.00044972412720702094]
22,"[0.0, 0.0]",[-0.0005332107690234719]
23,"[0.0, 0.0]",[0.0004372326767645234]
24,"[0.0, 0.0]",[0.00032173076946896337]
25,"[0.0, 0.0]",[0.0008787123418408816]
26,"[0.0, 0.0]",[0.0002769981240203458]
27,"[0.0, 0.0]",[0.00011010856022462771]
28,"[0.0, 0.0]",[0.00029496275085373586]
29,"[0.0, 0.0]",[-0.0001808513404002233]
30,"[0.0, 0.0]",[0.00011725610046137125]
31,"[0.0, 0.0]",[0.00047539011955015934]
32,"[0.0, 0.0]",[-6.534705263896236e-05]
33,"[0.0, 0.0]",[-0.0004032780258974584]
34,"[0.0, 0.0]",[0.0009542645218687109]
35,"[0.0, 0.0]",[-0.0003866426868829813]
36,"[0.0, 0.0]",[0.0004454685789124776]
37,"[0.0, 0.0]",[-0.0001480547723399432]
38,"[0.0, 0.0]",[-0.00026459613029966827]
39,"[0.0, 0.0]",[-4.583630417821777e-05]
40,"[0.0, 0.0]",[0.0009686409402118255]
41,"[0.0, 0.0]",[0.0001127739193402518]
42,"[0.0, 0.0]",[-0.0004050910376418467]
43,"[0.0, 0.0]",[-4.254693100538202e-05]
44,"[0.0, 0.0]",[0.000789502345052988]
45,"[0.0, 0.0]",[0.00033882800799922807]
46,"[0.0, 0.0]",[0.0009135532965399899]
47,"[0.0, 0.0]",[0.0008675010549942915]
