,joystick,executed
0,"[0.0, -0.0]",[0.0009942650794982]
1,"[0.0, -0.0]",[0.0009942650794982]
2,"[0.0, -0.0]",[0.0009942650794982]
3,"[0.0, -0.0]",[0.0009942650794982]
4,"[0.0, -0.0]",[0.0009942650794982]
5,"[0.0, -0.0]",[0.0009942650794982]
6,"[0.0, -0.0]",[0.0009942650794982]
7,"[0.0, -0.0]",[0.0009942650794982]
8,"[0.0, -0.0]",[0.0009942650794982]
9,"[0.0, -0.0]",[0.0009942650794982]
10,"[0.0, -0.0]",[0.0009942650794982]
11,"[0.0, -0.0]",[0.0009942650794982]
12,"[0.0, -0.0]",[0.0009942650794982]
13,"[0.0, -0.0]",[0.0009942650794982]
14,"[0.0, -0.0]",[0.0006834134222274719]
15,"[0.0, -0.0]",[-0.0004537720470573664]
16,"[0.0, -0.0]",[-0.0004149464982431925]
17,"[0.0, -0.0]",[-0.0005981369716407967]
18,"[0.0, 0.0]",[-0.00013464866000701737]
19,"[0.0, 0.0]",[0.001204440347725036]
20,"[0.0, 0.0]",[7.219336892406373e-05]
21,"[0.0, 0.0]",[0.00048413436900961713]
22,"[0.0, 0.0]",[0.0003239784928590707]
23,"[0.0, 0.0]",[0.00017700193888309278]
24,"[0.0, 0.0]",[-0.0002250903383704771]
25,"[0.0, 0.0]",[-7.706307662780267e-05]
26,"[0.0, 0.0]",[0.00021944045108068956]
27,"[0.0, 0.0]",[0.00010537136029687148]
28,"[0.0, 0.0]",[0.00045663132266347324]
29,"[0.0, 0.0]",[4.614386417262751e-05]
30,"[0.0, 0.0]",[0.00013950526584537658]
31,"[0.0, 0.0]",[4.983367704570747e-06]
32,"[0.0, 0.0]",[0.0008608465332452645]
33,"[0.0, 0.0]",[-8.97383675148757e-05]
34,"[0.0, 0.0]",[-0.0003909580643209164]
35,"[0.0, 0.0]",[0.0005384585779912044]
36,"[0.0, 0.0]",[0.0011753306701535655]
37,"[0.0, 0.0]",[-0.00032512440753929277]
38,"[0.0, 0.0]",[0.0004285492484093196]
39,"[0.0, 0.0]",[0.0009222127882056926]
40,"[0.0, 0.0]",[0.0009428238248297187]
41,"[0.0, 0.0]",[-0.00010795226230605887]
42,"[0.0, 0.0]",[-0.0001759418511800535]
43,"[0.0, 0.0]",[0.0009518046789385697]
44,"[0.0, 0.0]",[0.00010072858394088806]
45,"[0.0, 0.0]",[0.0008870597325602071]
46,"[0.0, 0.0]",[0.0006435846271651944]
47,"[0.0, 0.0]",[-0.00048803325350336193]
48,"[0.0, 0.0]",[0.0007707469951189799]
49,"[0.0, 0.0]",[0.00021481241426058863]
50,"[0.0, 0.0]",[6.690037917478256e-05]
51,"[0.0, 0.0]",[0.0005303098504836286]
52,"[0.10904206002774741, 0.0]",[-0.0034941334844783823]
53,"[0.5510045614762635, 0.0]",[0.0045817054479307595]
54,"[0.9230652819462316, 0.0]",[0.019468094135303215]
55,"[1.0, 0.0]",[0.03266818629616377]
56,"[1.0, 0.0]",[0.027925533456031507]
57,"[1.0, 0.0]",[0.07296675642637065]
58,"[1.0, 0.0]",[0.035814123726156076]
59,"[1.0, 0.0]",[0.05760248801067035]
60,"[1.0, 0.0]",[0.04210165637043498]
61,"[1.0, 0.0]",[0.05984352282570885]
62,"[1.0, 0.0]",[0.0553969370209156]
63,"[1.0, 0.0]",[0.05616704190324973]
64,"[1.0, 0.0]",[0.04396057006395854]
65,"[1.0, 0.0]",[0.05881633364114089]
