,joystick,executed
0,"[0.0, -0.0]",[0.0002800650364410309]
1,"[0.0, -0.0]",[0.0007759189558002909]
2,"[0.0, 0.0]",[0.0005198196387382028]
3,"[0.0, 0.0]",[0.00028080522588400027]
4,"[0.0, 0.0]",[1.5955257985220703e-05]
5,"[0.0, 0.0]",[0.0007498119191220298]
6,"[0.0, 0.0]",[-0.00038782794317767906]
7,"[0.0, 0.0]",[0.0008207202826655765]
8,"[0.0, 0.0]",[-0.0006089933749681047]
9,"[0.0, 0.0]",[5.269348643677338e-05]
10,"[0.0, 0.0]",[0.0010457263846257118]
11,"[0.0, 0.0]",[0.000685424072413686]
12,"[0.0, 0.0]",[-0.0007528023511658454]
13,"[0.0, 0.0]",[0.00012085434675245872]
14,"[0.0, 0.0]",[0.00035971135005605296]
15,"[0.0, 0.0]",[0.00042188752096319714]
16,"[0.0, 0.0]",[0.0008121012540420083]
17,"[0.0, 0.0]",[0.0002812950677008046]
18,"[0.0, 0.0]",[-0.0001617323386644663]
19,"[0.0, 0.0]",[0.00017981059718662022]
20,"[0.0, 0.0]",[0.0008377696966350245]
21,"[0.0, 0.0]",[0.0008436813123468409]
22,"[0.0, 0.0]",[0.000636784171282326]
23,"[0.0, 0.0]",[0.0008116279331714872]
24,"[0.0, 0.0]",[0.0003978201516003568]
25,"[0.0, 0.0]",[0.00528552850064311]
26,"[0.0, 0.0]",[-0.005086272587397202]
27,"[0.0, 0.0]",[0.0008565254133615863]
28,"[0.2730127696175741, 0.0]",[0.00017862369147155508]
29,"[0.8012825591969395, 0.0]",[-0.0012757279160934961]
30,"[1.0, 0.0]",[-0.0038721328742165415]
31,"[1.0, 0.0]",[0.004568364682041077]
32,"[1.0, 0.0]",[-0.019019833042140458]
33,"[1.0, 0.0]",[-0.04404970991658756]
34,"[1.0, 0.0]",[-0.05582765537861736]
35,"[1.0, 0.0]",[-0.06730826762817581]
36,"[1.0, 0.0]",[-0.04075194268558495]
37,"[1.0, 0.0]",[-0.0649729501837534]
38,"[1.0, 0.0]",[-0.05456720019956099]
39,"[1.0, 0.0]",[-0.06034527478055467]
40,"[1.0, 0.0]",[-0.06864289701044364]
41,"[1.0, 0.0]",[-0.035584752775862226]
42,"[1.0, 0.0]",[-0.056323887249977965]
43,"[1.0, 0.0]",[-0.06541032581100166]
44,"[1.0, 0.0]",[-0.06173616771157123]
45,"[1.0, 0.0]",[-0.06617757602903244]
46,"[1.0, 0.0]",[-0.053074719421249215]
47,"[1.0, 0.0]",[-0.03746348620090082]
48,"[1.0, 0.0]",[-0.057373433976735215]
49,"[1.0, 0.0]",[-0.05864310947829701]
50,"[1.0, 0.0]",[-0.038310379075029224]
51,"[1.0, 0.0]",[-0.05319910169813299]
52,"[1.0, 0.0]",[-0.04627033687914112]
53,"[1.0, 0.0]",[-0.05096180028700811]
54,"[1.0, 0.0]",[-0.03888423728927885]
55,"[1.0, 0.0]",[-0.048752948009415535]
56,"[1.0, 0.0]",[-0.06259713645168621]
57,"[1.0, 0.0]",[-0.020404297652343258]
58,"[1.0, 0.025831869099769873]",[0.2698232114739898]
59,"[1.0, 0.2513092356534648]",[0.710891675675775]
60,"[1.0, 0.6883479860149324]",[0.8519469089349904]
61,"[1.0, 0.7880923494476428]",[0.83841812656743]
62,"[1.0, 0.7880923494476428]",[0.44556438689038946]
63,"[1.0, 0.0]",[0.12595100622988015]
64,"[1.0, 0.0]",[0.09562596481161444]
65,"[1.0, 0.0]",[0.094413380980893]
