,joystick,executed
0,"[0.0, -0.0]",[0.0008791536092758]
1,"[0.0, -0.0]",[7.523294779922317e-05]
2,"[0.0, -0.0]",[0.0010250232681750884]
3,"[0.0, -0.0]",[-0.0002822907869063229]
4,"[0.0, -0.0]",[0.0003741391966854144]
5,"[0.0, 0.0]",[0.000972354021214063]
6,"[0.0, 0.0]",[-0.000894469030370749]
7,"[0.0, 0.0]",[0.0006924211194357168]
8,"[0.0, 0.0]",[0.0007158671065419329]
9,"[0.0, 0.0]",[0.00011634252585361268]
10,"[0.0, 0.0]",[-0.00019598974377696041]
11,"[0.0, 0.0]",[0.0002495997949444747]
12,"[0.0, 0.0]",[0.00032194805176969683]
13,"[0.0, 0.0]",[0.0010505456752931167]
14,"[0.0, 0.0]",[0.000678539605667276]
15,"[0.0, 0.0]",[-0.0007451281660899403]
16,"[0.0, 0.0]",[0.001307185524455753]
17,"[0.12170455259158199, -0.09591442679037404]",[0.00026161780890558684]
18,"[0.5078687934199559, -0.40024751061747266]",[0.0006544024130184291]
19,"[0.702980458284455, -0.5540135209851768]",[0.00035147675849150087]
20,"[0.773247480392456, -0.6093904235269608]",[0.0002933551361455338]
21,"[0.8267999497693572, -0.6515947149369258]",[0.002846453476872535]
22,"[1.0, -0.7880923494476428]",[-0.0919009230642113]
23,"[1.0, -0.7880923494476428]",[-0.13485817909795958]
24,"[1.0, -0.7880923494476428]",[-0.06282799751459607]
25,"[1.0, -0.7880923494476428]",[-0.12728067304678944]
26,"[1.0, -0.7880923494476428]",[-0.34059177910962507]
27,"[1.0, -0.7880923494476428]",[-0.5198513870154601]
28,"[1.0, -0.7880923494476428]",[-0.6410640620385775]
29,"[1.0, -0.7880923494476428]",[-0.7703779250688982]
30,"[1.0, -0.7880923494476428]",[-0.8691238220030756]
31,"[1.0, -0.7880923494476428]",[-0.9102983189739899]
32,"[1.0, -0.7880923494476428]",[-0.8194647692651924]
33,"[1.0, -0.7880923494476428]",[-0.3403922485386684]
34,"[1.0, -0.24550304782474758]",[0.07321541096773636]
35,"[1.0, 0.0]",[0.6249026414803801]
36,"[1.0, 0.7880923494476428]",[0.8833541914228091]
37,"[1.0, 0.7880923494476428]",[0.9209059086825064]
38,"[1.0, 0.7880923494476428]",[0.9381914113613882]
39,"[1.0, 0.7880923494476428]",[0.9300563754988204]
40,"[1.0, 0.7880923494476428]",[0.9349510227916732]
41,"[1.0, 0.7880923494476428]",[0.9382450073775117]
42,"[1.0, 0.7880923494476428]",[0.9519614395022038]
43,"[1.0, 0.7880923494476428]",[0.9388526800414276]
44,"[1.0, 0.7880923494476428]",[0.9189729853898535]
45,"[1.0, 0.7880923494476428]",[0.9417992796025292]
46,"[1.0, 0.7880923494476428]",[0.9415474495391704]
47,"[1.0, 0.7880923494476428]",[0.9363068486643755]
48,"[1.0, 0.7880923494476428]",[0.9464653806345054]
49,"[1.0, 0.7880923494476428]",[0.917620846124921]
50,"[1.0, 0.7880923494476428]",[0.895253296781071]
51,"[1.0, 0.7880923494476428]",[0.9139320109769574]
52,"[1.0, 0.7880923494476428]",[0.910866842613308]
53,"[1.0, 0.7880923494476428]",[0.9285920116514882]
54,"[1.0, 0.7880923494476428]",[0.9064962871474505]
55,"[1.0, 0.7880923494476428]",[0.9072403189021011]
56,"[1.0, 0.7880923494476428]",[0.8668595660591153]
57,"[1.0, 0.7880923494476428]",[0.916755783741428]
58,"[1.0, 0.7880923494476428]",[0.8913368524541933]
59,"[1.0, 0.7880923494476428]",[0.9058911751370862]
60,"[1.0, 0.7880923494476428]",[0.8704063584064663]
61,"[1.0, 0.7880923494476428]",[0.9044400249495447]
62,"[1.0, 0.7880923494476428]",[0.8706285316125837]
63,"[1.0, 0.7880923494476428]",[0.8819394981983097]
64,"[1.0, 0.7880923494476428]",[0.8884671057240456]
65,"[1.0, 0.7880923494476428]",[0.9026238022060743]
66,"[1.0, 0.7880923494476428]",[0.8842082152661347]
67,"[1.0, 0.7880923494476428]",[0.8832679927560683]
68,"[1.0, 0.7880923494476428]",[0.8943358200130105]
69,"[1.0, 0.7880923494476428]",[0.8518157825905366]
70,"[1.0, 0.7880923494476428]",[0.9110344853443111]
71,"[1.0, 0.7880923494476428]",[0.8819967027937675]
72,"[1.0, 0.7880923494476428]",[0.8821518448346244]
73,"[1.0, 0.7880923494476428]",[0.9035422860949834]
74,"[1.0, 0.7880923494476428]",[0.8936305584583049]
75,"[1.0, 0.7880923494476428]",[0.8641902091870167]
76,"[1.0, 0.7880923494476428]",[0.8559870137363692]
77,"[1.0, 0.7880923494476428]",[0.8970988970347614]
78,"[1.0, 0.7880923494476428]",[0.8696942880195915]
79,"[1.0, 0.7880923494476428]",[0.8863182269106404]
80,"[1.0, 0.7880923494476428]",[0.8960747641338156]
81,"[1.0, 0.7880923494476428]",[0.8604061280369739]
82,"[1.0, 0.7880923494476428]",[0.8897710890439015]
83,"[1.0, 0.7880923494476428]",[0.8724560472304981]
84,"[1.0, 0.7880923494476428]",[0.8842969726428678]
85,"[1.0, 0.7880923494476428]",[0.8879076057483141]
86,"[1.0, 0.7880923494476428]",[0.8687704169373708]
87,"[1.0, 0.7880923494476428]",[0.9004199186007856]
88,"[1.0, 0.7880923494476428]",[0.8792805417007656]
89,"[1.0, 0.7880923494476428]",[0.8598642084400611]
90,"[1.0, 0.7880923494476428]",[0.9005033671976953]
91,"[1.0, 0.7880923494476428]",[0.8670152179372116]
92,"[1.0, 0.7880923494476428]",[0.8794079878471099]
93,"[1.0, 0.7880923494476428]",[0.9008606476923126]
94,"[1.0, 0.7880923494476428]",[0.856021027137679]
95,"[1.0, 0.7880923494476428]",[0.8721426630950988]
96,"[1.0, 0.7880923494476428]",[0.8816675660171047]
97,"[1.0, 0.7880923494476428]",[0.8635165684084203]
98,"[1.0, 0.7880923494476428]",[0.8861149569274375]
99,"[1.0, 0.7880923494476428]",[0.8870040112015292]
100,"[1.0, 0.7880923494476428]",[0.8877939972708027]
101,"[1.0, 0.7880923494476428]",[0.8839956866117937]
102,"[1.0, 0.7880923494476428]",[0.842345063960736]
103,"[1.0, 0.7880923494476428]",[0.8888552236334522]
104,"[1.0, 0.7880923494476428]",[0.8899029155380426]
105,"[1.0, 0.7880923494476428]",[0.8791568756680942]
106,"[1.0, 0.7880923494476428]",[0.9134334111191859]
