,joystick,executed
0,"[0.0, -0.0]",[0.0007699086552281803]
1,"[0.0, -0.0]",[-0.00024407151679236254]
2,"[0.0, -0.0]",[-0.001041994067862449]
3,"[0.0, -0.0]",[0.00013063098498331089]
4,"[0.0, -0.0]",[0.0005439987651503973]
5,"[0.0, 0.0]",[-0.0004220672422344345]
6,"[0.0, 0.0]",[-0.0005639974723670238]
7,"[0.0, 0.0]",[-0.0006013925452201189]
8,"[0.0, 0.0]",[0.0004971211214028545]
9,"[0.0, 0.0]",[0.000929324020264906]
10,"[0.0, 0.0]",[-0.000214191322914941]
11,"[0.0, 0.0]",[0.00022166817975293116]
12,"[0.0, 0.0]",[-0.00010703250337374754]
13,"[0.0, 0.0]",[0.0005802805019323839]
14,"[0.0, 0.0]",[0.0006887142176677482]
15,"[0.0, 0.0]",[0.0002234296239007846]
16,"[0.0, 0.0]",[0.0006881733462669686]
17,"[0.0, 0.0]",[-0.00013352361312932287]
18,"[0.0, 0.0]",[0.00027958848786717363]
19,"[0.0, 0.0]",[-0.0008905643095052907]
20,"[0.0, 0.0]",[-0.0002722082661708489]
21,"[0.0, 0.0]",[0.00010539478161435724]
22,"[0.0, 0.0]",[-5.857941230517024e-05]
23,"[0.0, 0.0]",[-0.0005234625069977608]
24,"[0.0, 0.0]",[-0.00013425051192767436]
25,"[0.0, 0.0]",[-5.100599620299102e-05]
26,"[0.0, 0.0]",[0.0002602332878372934]
27,"[0.0, 0.0]",[0.0009625564600780478]
28,"[0.0, 0.0]",[0.000582737524852143]
29,"[0.0, 0.0]",[0.00038659278551564315]
30,"[0.0, 0.0]",[-0.0003194073222219047]
31,"[0.0, 0.0]",[4.906449867681461e-05]
32,"[0.16072739197185884, 0.0]",[-0.0008441110116584908]
33,"[0.5133721947310806, 0.0]",[-0.012387894230091885]
34,"[0.9068243556104348, 0.02002395455584505]",[-0.09215806700064474]
35,"[1.0, -0.03555639489563582]",[-0.34168948397182974]
36,"[1.0, -0.3477754639623978]",[-0.5438743510497139]
37,"[1.0, -0.5941970650888471]",[-0.528954218285964]
38,"[1.0, -0.7746451723984664]",[-0.1788069513713548]
39,"[1.0, -0.20779581859188223]",[-0.09789271716764066]
40,"[1.0, 0.0]",[-0.07229215300590941]
41,"[1.0, 0.0]",[-0.08768850557711377]
42,"[1.0, 0.0]",[-0.09842185670518083]
43,"[1.0, 0.0]",[-0.10441414610299583]
44,"[1.0, 0.0]",[-0.07721562139305965]
45,"[1.0, 0.0]",[-0.0406430753981324]
46,"[1.0, 0.0]",[-0.1048061521173402]
47,"[1.0, 0.0]",[-0.0831671370034797]
48,"[1.0, 0.0]",[-0.0781515651193807]
49,"[1.0, 0.0]",[-0.06514483037822444]
50,"[1.0, 0.0]",[-0.07238857376719499]
51,"[1.0, 0.0]",[-0.05836597995361713]
52,"[1.0, 0.0]",[-0.05572814265326026]
53,"[1.0, 0.0]",[-0.07973054821969987]
54,"[1.0, 0.0]",[0.16087902378830876]
55,"[1.0, 0.0]",[0.6747232383980144]
56,"[1.0, 0.30842399591196057]",[0.8809054398828683]
57,"[1.0, 0.7880923494476428]",[0.6779296484643487]
58,"[1.0, 0.7880923494476428]",[0.2034312960086311]
59,"[1.0, 0.44189587303471467]",[0.09355971288400769]
60,"[1.0, 0.0]",[0.10343684948009446]
61,"[1.0, 0.0]",[0.08344420787152958]
62,"[1.0, 0.0]",[0.10459098886505695]
63,"[1.0, 0.0]",[0.08736187964243121]
64,"[1.0, 0.0]",[0.0914878468595458]
65,"[1.0, 0.0]",[0.6707138118341675]
66,"[1.0, 0.0007548715610649222]",[0.8108485968017632]
67,"[1.0, 0.6859930990346431]",[0.7003454622361022]
