,joystick,executed
0,"[0.0, -0.0]",[-0.0002875924110412]
1,"[0.0, -0.0]",[-0.0002875924110412]
2,"[0.0, -0.0]",[-0.0002875924110412]
3,"[0.0, -0.0]",[-0.0002875924110412]
4,"[0.0, -0.0]",[-0.0002875924110412]
5,"[0.0, -0.0]",[-4.920413280918597e-05]
6,"[0.0, -0.0]",[0.001075733269864587]
7,"[0.0, -0.0]",[0.000441240335874256]
8,"[0.0, -0.0]",[0.0011550556818734322]
9,"[0.0, -0.0]",[0.0005473814374764624]
10,"[0.0, 0.0]",[0.0015198232204112138]
11,"[0.0, 0.0]",[0.00023638764245494592]
12,"[0.0, 0.0]",[0.0004905277028800296]
13,"[0.0, 0.0]",[0.0006520983498724386]
14,"[0.0, 0.0]",[-0.0002396158540112892]
15,"[0.0, 0.0]",[-5.1892300516780735e-05]
16,"[0.0, 0.0]",[0.0010650530493336928]
17,"[0.0, 0.0]",[1.6681814184335225e-05]
18,"[0.0, 0.0]",[-0.00010288149329435478]
19,"[0.0, 0.0]",[0.0009871568063203324]
20,"[0.0, 0.0]",[-0.01161958951543223]
21,"[0.0, 0.0]",[0.12482962965004382]
22,"[0.0, 0.0]",[0.12971310265839292]
23,"[0.13924305006534543, 0.10973638247025382]",[-0.00021700722891215222]
24,"[0.6931715263072178, 0.5462831767376638]",[0.037040947133390574]
25,"[0.9778110155525088, 0.7706053805625622]",[-0.006075544144841356]
26,"[1.0, 0.7880923494476428]",[0.09252689635823642]
27,"[1.0, 0.7880923494476428]",[0.3503144410089297]
28,"[1.0, 0.7880923494476428]",[0.5399815555216372]
29,"[1.0, 0.7880923494476428]",[0.7151866897706073]
30,"[1.0, 0.7880923494476428]",[0.8764077516737123]
31,"[1.0, 0.7880923494476428]",[0.9572127139468908]
32,"[1.0, 0.7880923494476428]",[1.0298858481645483]
33,"[1.0, 0.7880923494476428]",[1.0452742201564742]
34,"[1.0, 0.7880923494476428]",[1.0755406932677238]
35,"[1.0, 0.7880923494476428]",[1.0819111549565819]
36,"[1.0, 0.7880923494476428]",[1.0487425159295871]
37,"[1.0, 0.7880923494476428]",[1.069396853732937]
38,"[1.0, 0.7880923494476428]",[0.9851204049096646]
39,"[1.0, 0.7880923494476428]",[0.749506568389357]
40,"[1.0, 0.7780640692106263]",[0.19811573699706292]
41,"[1.0, 0.6069017639879507]",[0.10717596471377559]
42,"[1.0, 0.0]",[0.0990007931315802]
43,"[1.0, 0.0]",[-0.2742706187520369]
44,"[1.0, -0.005487187788413523]",[-0.787830155842187]
45,"[1.0, -0.25452343356501284]",[-0.8631636751539499]
46,"[1.0, -0.7880923494476428]",[-0.847324340217291]
47,"[1.0, -0.7880923494476428]",[-0.7083165785999785]
48,"[1.0, -0.7880923494476428]",[-0.24265009776182497]
49,"[1.0, -0.48195897176445257]",[-0.09384637861244685]
50,"[1.0, 0.0]",[-0.06850095901349243]
51,"[1.0, 0.0]",[-0.09353921884905148]
52,"[1.0, 0.0]",[-0.05174916864270193]
53,"[1.0, 0.0]",[-0.029629452118941576]
54,"[1.0, 0.0]",[-0.13100811484943267]
55,"[1.0, 0.0]",[-0.6624183200138579]
56,"[1.0, -0.21497210377998985]",[-0.6352181259855071]
57,"[1.0, -0.774616660893845]",[-0.2296842675848542]
58,"[1.0, -0.7880923494476428]",[-0.09797145923977554]
59,"[1.0, 0.0]",[-0.08331112691077641]
60,"[1.0, 0.0]",[-0.1014283248420965]
61,"[1.0, 0.0]",[-0.0767897803253273]
62,"[1.0, 0.0]",[-0.06138101692597128]
63,"[1.0, 0.0]",[-0.04852370607740665]
64,"[1.0, 0.0]",[-0.06022214794194839]
65,"[1.0, 0.0]",[-0.09830130454351757]
66,"[1.0, 0.0]",[-0.06759897286203062]
67,"[1.0, 0.0]",[-0.08493337848865162]
68,"[1.0, 0.0]",[-0.07423842236840866]
69,"[1.0, 0.0]",[-0.055954170983656515]
70,"[1.0, 0.0]",[-0.06405136147996811]
71,"[1.0, 0.0]",[-0.09428573107627695]
72,"[1.19321106143024, 0.0]",[-0.06435806815204609]
73,"[1.7405816834259813, 0.0]",[-0.04401987726205586]
74,"[2.1946332071964436, 0.0]",[-0.00484662087329258]
75,"[2.641471084302907, 0.0]",[-0.09198438435206935]
76,"[3.0921802753050396, 0.0]",[-0.13420064708461504]
77,"[3.543531456378172, 0.0]",[-0.09090787381914264]
78,"[3.9953360407252783, 0.0]",[-0.05144924726126562]
79,"[4.073935772964899, 0.0]",[-0.03562531952700942]
80,"[4.073935772964899, 0.0]",[-0.09704504663897741]
81,"[4.073935772964899, 0.0]",[-0.07545143398941223]
82,"[4.073935772964899, 0.0]",[-0.07139132662940251]
83,"[4.073935772964899, 0.0]",[-0.08299845204160243]
84,"[4.073935772964899, 0.0]",[-0.11772061301826203]
85,"[4.073935772964899, 0.0]",[-0.11076871615241089]
86,"[4.073935772964899, 0.0]",[-0.08712781682539861]
87,"[4.073935772964899, 0.0]",[-0.10570939369831277]
