,joystick,executed
0,"[0.0, -0.0]",[0.0004056058824062]
1,"[0.0, -0.0]",[0.0004056058824062]
2,"[0.0, -0.0]",[0.0004056058824062]
3,"[0.0, -0.0]",[0.0004056058824062]
4,"[0.0, -0.0]",[0.0004056058824062]
5,"[0.0, -0.0]",[0.0004056058824062]
6,"[0.0, -0.0]",[-0.0001527160324268299]
7,"[0.0, -0.0]",[-0.0004538221453141014]
8,"[0.0, -0.0]",[0.0006987830508502987]
9,"[0.0, -0.0]",[-0.000322165440820112]
10,"[0.0, -0.0]",[0.00042637246307372775]
11,"[0.0, -0.0]",[-0.0006420988271135322]
12,"[0.0, -0.0]",[-0.00028195595373345237]
13,"[0.0, -0.0]",[-0.00046466654680755667]
14,"[0.0, -0.0]",[0.000323401631029528]
15,"[0.0, 0.0]",[0.0004970158841138844]
16,"[0.0, 0.0]",[1.309315533710924e-05]
17,"[0.0, 0.0]",[0.00045637640465247227]
18,"[0.0, 0.0]",[-0.00011747956516181397]
19,"[0.0, 0.0]",[0.00043704026721168765]
20,"[0.0, 0.0]",[-0.00024253801715210871]
21,"[0.0, 0.0]",[-0.0011719480776088737]
22,"[0.0, 0.0]",[-5.476092398241418e-05]
23,"[0.0, 0.0]",[0.00048651990028358117]
24,"[0.0, 0.0]",[0.0009552688029277533]
25,"[0.0, 0.0]",[0.0001860275324732367]
26,"[0.0, 0.0]",[-0.00013552509374980507]
27,"[0.0, 0.0]",[0.000502890960943231]
28,"[0.0, 0.0]",[-0.00032897785784663866]
29,"[0.0, 0.0]",[-0.00027642378866580387]
30,"[0.0, 0.0]",[0.00098099673443741]
31,"[0.0, 0.0]",[0.0004777060082010201]
32,"[0.0, 0.0]",[0.0007227847485730984]
33,"[0.0, 0.0]",[0.00018344184657898222]
34,"[0.0, 0.0]",[0.00014236090571732602]
35,"[0.0, 0.0]",[2.9139794187747487e-05]
36,"[0.0, 0.0]",[-0.00046028484837923756]
37,"[0.0, 0.0]",[-0.0006612966944198421]
38,"[0.0, 0.0]",[0.0008663112910020309]
39,"[0.0, 0.0]",[1.4014375109055923e-05]
40,"[0.0, 0.0]",[0.000828026120753075]
41,"[0.0, 0.0]",[-0.00038094782752487157]
42,"[0.0, 0.0]",[0.000647205740016052]
43,"[0.0, 0.0]",[0.0005398852020316961]
44,"[0.0, 0.0]",[0.00014506457639596644]
45,"[0.0, 0.0]",[-6.398257496448658e-05]
46,"[0.0, 0.0]",[-0.000998779897052264]
47,"[0.0, 0.0]",[0.0006059075521352441]
48,"[0.0, 0.0]",[0.0007580655552553782]
49,"[0.0, 0.0]",[0.0003773307527598711]
50,"[0.0, 0.0]",[0.0003293006370676478]
51,"[0.0, 0.0]",[-0.0003168860994187318]
52,"[0.0, 0.0]",[0.00024364904101524055]
53,"[0.0, 0.0]",[-0.00017371466610714096]
54,"[0.0, 0.0]",[0.0002102141830070791]
55,"[0.0, 0.0]",[0.0006761672615310202]
56,"[0.0, 0.0]",[-8.70873048373994e-05]
57,"[0.0, 0.0]",[0.0003580538452030993]
58,"[0.0, 0.0]",[1.3482580736630094e-05]
59,"[0.0, 0.0]",[2.7511950974701236e-05]
60,"[0.0, 0.0]",[0.00041682880250725965]
61,"[0.0, 0.0]",[0.0008277394058817308]
62,"[0.0, 0.0]",[-0.0004905144697652747]
63,"[0.0, 0.0]",[0.0007600940103535347]
64,"[0.0, 0.0]",[0.00014343102860987645]
65,"[0.0, 0.0]",[-0.0007980111706201133]
66,"[0.0, 0.0]",[0.0005214453926919726]
67,"[0.0, 0.0]",[0.0004191066425723199]
68,"[0.0, 0.0]",[0.0010064818110969672]
69,"[0.0, 0.0]",[0.00020253049977550795]
70,"[0.0, 0.0]",[0.0006346758035173451]
71,"[0.0, 0.0]",[0.00020503629112738792]
72,"[0.0, 0.0]",[0.0003838353176682368]
73,"[0.0, 0.0]",[0.0011676157138275857]
74,"[0.0, 0.0]",[0.0011921185889055565]
75,"[0.0, 0.0]",[0.001506238169936091]
76,"[0.0, 0.0]",[-0.00017135550790518085]
77,"[0.0, 0.0]",[0.000553148516035192]
78,"[0.0, 0.0]",[0.00015666783758603355]
79,"[0.0, 0.0]",[-0.0007857346656595369]
80,"[0.0, 0.0]",[0.0005205524730699749]
81,"[0.0, 0.0]",[0.0014168707598912558]
82,"[0.0, 0.0]",[0.0003204898536118038]
83,"[0.0, 0.0]",[-0.000310752347967008]
84,"[0.0, 0.0]",[0.0013601760763987227]
85,"[0.0, 0.0]",[-0.00010966606999782491]
86,"[0.0, 0.0]",[-8.419671010260938e-05]
87,"[0.0, 0.0]",[0.00022887412082089225]
88,"[0.0, 0.0]",[0.0002609378160826018]
89,"[0.0, 0.0]",[-0.0011675593678575637]
90,"[0.0, 0.0]",[-0.016405062091245686]
91,"[0.0, 0.0]",[0.0009368759131901757]
92,"[0.0, 0.0]",[-0.005116192177295595]
93,"[0.0, 0.0]",[-0.06434725255861529]
