,joystick,executed
0,"[0.7938474416732788, 0.6256250954112949]",[1.7420551901185741]
1,"[0.7938474416732788, 0.6256250954112949]",[1.5833934144657504]
2,"[0.7938474416732788, 0.6256250954112949]",[1.5276526262160754]
3,"[0.7938474416732788, 0.6256250954112949]",[1.4034934807782342]
4,"[0.7938474416732788, 0.6256250954112949]",[1.3606507494102424]
5,"[0.7938474416732788, 0.6256250954112949]",[1.2606286057470757]
6,"[0.7777219395522518, 0.6129167105587117]",[1.0652999322238002]
7,"[0.6804406642913818, 0.5362500817811099]",[0.8603351309918981]
8,"[0.6804406642913818, 0.5362500817811099]",[0.6046393019328051]
9,"[0.6804406642913818, 0.5362500817811099]",[0.586471932071575]
10,"[0.6804406642913818, 0.5362500817811099]",[0.624048539800145]
11,"[0.6820211678925259, 0.537495664577446]",[0.5775583175885421]
12,"[0.6867833666130986, 0.5412487169556787]",[0.5479949858115674]
13,"[0.6911219014645149, 0.5446678830798919]",[0.56301233452901]
14,"[0.6988225556550657, 0.5507367097332069]",[0.5441284362823141]
15,"[0.7010712027549744, 0.5525088513092525]",[0.5306384671829937]
16,"[0.7010712027549744, 0.5525088513092525]",[0.5338990353384655]
17,"[0.7010712027549744, 0.5525088513092525]",[0.536793117698353]
18,"[0.7010712027549744, 0.5525088513092525]",[0.5635677965959917]
19,"[0.7010712027549744, 0.5525088513092525]",[0.5581865325166486]
20,"[0.7010712027549744, 0.5525088513092525]",[0.5730007976430318]
21,"[0.7010712027549744, 0.5525088513092525]",[0.5737768968691445]
22,"[0.7010712027549744, 0.5525088513092525]",[0.5876890358765331]
23,"[0.7010712027549744, 0.5525088513092525]",[0.6009778437607278]
24,"[0.7016676566096276, 0.5529789120289034]",[0.6376308995036327]
25,"[0.7077541163102097, 0.5577756043541534]",[0.7139008409493159]
26,"[0.8149085588577548, 0.6422232007352007]",[0.8443769118231407]
27,"[1.3345584481185788, 1.0517553028529707]",[0.9254742465993772]
28,"[1.6032437415466398, 1.263504127012721]",[1.0520681911517253]
29,"[1.9277351007779857, 1.5192332846848111]",[1.1911496769216172]
30,"[2.218903347071739, 1.748700751991005]",[1.3059885081701894]
31,"[2.521133857784916, 1.9868863052537136]",[1.4064055582712678]
32,"[2.6951446044636307, 2.1240228434328805]",[1.5186845081846445]
33,"[2.926652215502539, 2.3064722205315453]",[1.6381059373444518]
34,"[3.3374351189221705, 2.630207084000446]",[1.757871093245894]
35,"[3.7016674918629016, 2.917255830536197]",[1.8251377136170097]
36,"[4.0115127428621395, 3.1614425023613815]",[1.8926851423975373]
37,"[4.0532162020042914, 3.194308679456814]",[1.9245764453842737]
38,"[4.073935772964899, 3.210637614814706]",[1.9359969990900672]
39,"[4.073935772964899, 3.210637614814706]",[2.036586080578986]
40,"[4.073935772964899, 3.210637614814706]",[2.1224961493063104]
41,"[4.073935772964899, 3.210637614814706]",[2.0469644554284967]
42,"[4.073935772964899, 3.210637614814706]",[2.047717411230668]
43,"[4.073935772964899, 3.210637614814706]",[1.9270598888737618]
44,"[4.073935772964899, 3.210637614814706]",[1.864065194737288]
45,"[4.073935772964899, 3.210637614814706]",[1.79620488494043]
46,"[4.073935772964899, 3.210637614814706]",[1.7507863786802906]
47,"[4.073935772964899, 3.210637614814706]",[1.6716368092450091]
48,"[4.073935772964899, 3.210637614814706]",[1.5681445997895505]
49,"[4.073935772964899, 3.210637614814706]",[1.4248358278113402]
50,"[4.073935772964899, 3.210637614814706]",[1.3740170755394427]
51,"[4.073935772964899, 3.210637614814706]",[1.2902851636489172]
52,"[4.073935772964899, 3.210637614814706]",[1.236303759244833]
53,"[4.073935772964899, 3.210637614814706]",[1.131589296755023]
54,"[4.073935772964899, 3.210637614814706]",[1.0816438955126075]
55,"[4.073935772964899, 3.210637614814706]",[1.0140973599211793]
56,"[4.073935772964899, 3.210637614814706]",[0.9358530306643118]
57,"[4.073935772964899, 3.210637614814706]",[0.9068279336918813]
58,"[4.073935772964899, 3.210637614814706]",[0.8817877964328434]
59,"[4.073935772964899, 3.210637614814706]",[0.9123458560876022]
60,"[4.073935772964899, 3.210637614814706]",[0.906132057474249]
61,"[4.073935772964899, 3.210637614814706]",[1.0161005917835566]
62,"[4.073935772964899, 3.210637614814706]",[1.0568362890662784]
63,"[4.073935772964899, 3.210637614814706]",[1.1453574916838403]
64,"[4.073935772964899, 3.210637614814706]",[1.1277632879577295]
65,"[4.073935772964899, 3.210637614814706]",[1.2520893704737097]
66,"[4.073935772964899, 3.210637614814706]",[1.2934206689428218]
67,"[4.073935772964899, 3.210637614814706]",[1.3771819858317742]
68,"[4.073935772964899, 3.210637614814706]",[1.3438902263646137]
69,"[4.073935772964899, 3.210637614814706]",[1.353034935248145]
70,"[4.073935772964899, 3.210637614814706]",[1.3427139631738347]
71,"[4.073935772964899, 3.210637614814706]",[1.4070428415327736]
72,"[4.073935772964899, 3.210637614814706]",[1.4043394095525037]
73,"[4.073935772964899, 1.3392981953452183]",[1.432606276119621]
74,"[4.073935772964899, -0.9614966315586537]",[1.1761583999632832]
75,"[4.073935772964899, -2.525296618080351]",[0.5912583521576682]
76,"[4.073935772964899, -2.9054554739921783]",[-0.0805996807594313]
77,"[4.073935772964899, -3.168955086212203]",[-1.0592295781200114]
78,"[4.073935772964899, -3.210637614814706]",[-1.6593725558749757]
79,"[4.073935772964899, -3.210637614814706]",[-1.8461980464952346]
80,"[4.073935772964899, -3.210637614814706]",[-1.7358937628476636]
81,"[4.030323542166909, -3.1762671493804655]",[-1.7401721657748572]
82,"[3.8019416909063732, -2.9962811596493477]",[-1.682568948010382]
83,"[3.513669498840827, -2.7690960505239888]",[-1.846086294318201]
84,"[3.227083076159735, -2.5432394833534517]",[-1.9569422394769787]
85,"[2.943592157466927, -2.3198224591937664]",[-2.057666027744474]
86,"[2.700101121050021, -2.127929036234525]",[-2.139032681667854]
87,"[2.522230995223366, -1.9877509508752487]",[-2.151810293073814]
88,"[2.097192756825005, -1.652781566970797]",[-2.1113523857209398]
89,"[1.8859634627580908, -1.4863133763374357]",[-2.199101108071282]
90,"[1.4906713688365727, -1.1747867013207483]",[-2.159274891549004]
91,"[1.1945117016214217, -0.9413855333735279]",[-2.129611996569005]
92,"[0.8975167955964257, -0.7073261201103069]",[-2.0947706110963225]
93,"[0.5678505961248729, -0.4475187104352956]",[-2.1494802795752177]
94,"[0.2702855553550746, -0.21300997834154162]",[-2.054780548953587]
95,"[-0.026983181365525598, 0.021265238797928923]",[-2.0155924978847377]
96,"[-0.21447557148440194, 0.16902655703026817]",[-1.9722787503026604]
97,"[-0.2044192861289068, 0.1611012754777401]",[-1.902177479586379]
98,"[-0.19586779177188873, 0.15436190819862947]",[-1.7722711937314082]
99,"[-0.19586779177188873, 0.15436190819862947]",[-1.6669390251075067]
100,"[-0.19397891173168355, 0.15287329628991939]",[-1.5210251720289407]
101,"[-0.18593997595766676, 0.1465378725087158]",[-1.5361623773730007]
102,"[-0.08442389051387571, 0.06653382222459087]",[-1.615573180479838]
103,"[-0.00818334132006153, 0.006449228687259265]",[-1.2809605447608554]
104,"[0.0, 0.0]",[-1.0394344405203513]
105,"[0.06295956618773489, -0.049617952437096366]",[-0.9345705796183077]
106,"[0.31666590135800254, -0.2495619741911837]",[-0.5972199249724915]
107,"[0.5421377221325537, -0.42725459115963754]",[-0.5557190286709215]
108,"[0.7192454345362291, -0.5668318243331475]",[-0.6729149641133038]
109,"[0.7984303676850143, -0.6292368643392282]",[-0.7863280145714282]
110,"[1.032076223214443, -0.8133713755621201]",[-0.9581077372025694]
111,"[1.4162582712138245, -1.11614230838556]",[-1.0749741425262018]
112,"[1.7666711079587072, -1.3922999841724477]",[-1.1830492295543475]
113,"[2.0615477380058884, -1.6246900003435343]",[-1.314595852202559]
114,"[2.340493764144565, -1.8445252294522476]",[-1.4654603787660923]
115,"[2.6724459558172535, -2.1061342120918707]",[-1.5677631167908228]
116,"[2.9754447469473146, -2.3449252412733563]",[-1.6689627209365105]
117,"[3.253512272228409, -2.564068130577226]",[-1.7563796237736868]
118,"[3.5697477668394937, -2.813290904504013]",[-1.783928267390847]
119,"[3.8678235965927006, -3.0482021854877734]",[-1.7976420199887835]
120,"[4.073935772964899, -3.210637614814706]",[-1.6044773345651275]
121,"[4.073935772964899, -3.210637614814706]",[-1.5861613918906852]
122,"[4.073935772964899, -3.210637614814706]",[-1.5303315670063928]
123,"[4.073935772964899, -3.210637614814706]",[-1.538988233641685]
124,"[4.0037529835817605, -3.1553270954389596]",[-1.587846364755332]
125,"[3.723497186813227, -2.934459646117325]",[-1.6764764862966843]
126,"[3.421087898000586, -2.6961331992021798]",[-1.7491838936050244]
127,"[3.12690331914991, -2.4642885832844854]",[-1.609482447788339]
128,"[2.8456489314078164, -2.2426341520563597]",[-1.534514956549821]
129,"[2.5362462985528365, -1.9987963042043924]",[-1.444672746827055]
130,"[2.2345183397613724, -1.7610068082663863]",[-1.272769364820116]
131,"[1.942002771264389, -1.5304775266395856]",[-1.141906484184558]
132,"[1.6319264592008251, -1.286108757357351]",[-0.9650623889419981]
133,"[1.3546127665453296, -1.06755995777848]",[-0.9764366602105933]
134,"[1.086521216379315, -0.8562790581410848]",[-0.9337725127861217]
135,"[0.9897457957267761, -0.7800110895102417]",[-0.8467263566340284]
136,"[0.9897457957267761, -0.7800110895102417]",[-0.8623897289143844]
137,"[0.9897457957267761, -0.7800110895102417]",[-0.8590113244084262]
138,"[0.9928571804677702, -0.7824631480208072]",[-0.842384981089943]
139,"[1.0, -0.7880923494476428]",[-0.9289904108011362]
140,"[1.0, -0.7880923494476428]",[-1.0384317361854836]
141,"[1.0347351944895755, -0.8154668904814533]",[-1.0784872755421449]
142,"[1.3883576890910918, -1.0941540730694985]",[-1.1250353290460533]
143,"[1.6868638748318663, -1.3294045143145998]",[-1.2841912176071555]
144,"[1.9909161849095636, -1.5690258137187156]",[-1.4525088359558171]
145,"[2.293645333835079, -1.80760433994171]",[-1.499209462537216]
146,"[2.5931028709886723, -2.0436045339568905]",[-1.6114033880784175]
147,"[2.8969775765516688, -2.2830858646017433]",[-1.6842293127705836]
148,"[3.19495346783728, -2.517918384843776]",[-1.7414945163384605]
149,"[3.4838567720422104, -2.7456008686178266]",[-1.7836016747621841]
150,"[3.7585582735725493, -2.9620910203556665]",[-1.894546454592107]
151,"[4.02165553287451, -3.1694359575721847]",[-1.9436442100762392]
152,"[4.073935772964899, -3.210637614814706]",[-1.9961605308895152]
153,"[4.073935772964899, -3.210637614814706]",[-1.9813510053843224]
154,"[4.073935772964899, -3.210637614814706]",[-1.891670178320407]
155,"[4.073935772964899, -3.210637614814706]",[-1.865601180579129]
156,"[4.073935772964899, -3.210637614814706]",[-1.7021606412990893]
157,"[4.073935772964899, -3.210637614814706]",[-1.7790620762256952]
158,"[4.073935772964899, -3.210637614814706]",[-1.6351950281476897]
159,"[4.073935772964899, -3.210637614814706]",[-1.5936940022834554]
160,"[4.073935772964899, -3.210637614814706]",[-1.5000893824634018]
161,"[4.073935772964899, -3.210637614814706]",[-1.4221717231393805]
162,"[4.073935772964899, -3.210637614814706]",[-1.3141654210310665]
163,"[4.073935772964899, -3.210637614814706]",[-1.0814131804616272]
164,"[4.073935772964899, -3.210637614814706]",[-1.0294972438060481]
165,"[4.073935772964899, -3.210637614814706]",[-0.9075910776324618]
166,"[4.073935772964899, -3.210637614814706]",[-0.8773353944357154]
167,"[4.073935772964899, -3.210637614814706]",[-0.8531215661676844]
168,"[4.073935772964899, -3.210637614814706]",[-0.7753853530048141]
169,"[4.073935772964899, -3.210637614814706]",[-0.8353153106293206]
170,"[4.073935772964899, -3.210637614814706]",[-0.8337382962517543]
171,"[4.073935772964899, -3.210637614814706]",[-0.9537312938609754]
172,"[4.073935772964899, -3.210637614814706]",[-1.0022824693194305]
173,"[4.073935772964899, -3.210637614814706]",[-1.1126960934627041]
174,"[4.073935772964899, -3.210637614814706]",[-1.1546870112611243]
175,"[4.073935772964899, -3.210637614814706]",[-1.191842133143495]
176,"[4.073935772964899, -3.210637614814706]",[-1.2878183079512944]
177,"[4.073935772964899, -3.210637614814706]",[-1.3705049102606164]
178,"[4.073935772964899, -3.210637614814706]",[-1.363961989623091]
179,"[4.073935772964899, -2.517833027804689]",[-1.421428919900295]
180,"[4.073935772964899, -0.543836649974585]",[-1.2220217774319955]
181,"[4.073935772964899, 1.4301597278555187]",[-0.6150292848770677]
182,"[4.073935772964899, 2.4870928516279176]",[0.2653432227751663]
183,"[4.073935772964899, 2.7228090216321816]",[1.2048876990810546]
184,"[4.073935772964899, 2.8337344794798645]",[1.6402524899065152]
185,"[4.073935772964899, 2.855763309262362]",[1.7297946096870727]
186,"[4.020126293917678, 2.8736507674271343]",[1.7891517464689841]
187,"[3.803899094588698, 2.7414198439390773]",[1.6925082909930431]
188,"[3.5172436419066595, 2.5348310447057343]",[1.7109255415011344]
189,"[3.201307482844974, 2.307140027059735]",[1.8447446008163135]
190,"[2.8902352762190433, 2.0829543957018]",[2.063879418140061]
191,"[2.619028678029367, 1.8874993818866184]",[2.127668315067527]
192,"[2.3492031725376603, 1.6930397033404294]",[2.166779706668785]
193,"[2.016616569879329, 1.4533489308767567]",[2.0058327759262493]
194,"[1.755279318774497, 1.265006625172998]",[1.9736780159137988]
195,"[1.6171984211642392, 1.165493545734015]",[2.040695150711539]
196,"[1.338188187948016, 0.9644145552084451]",[2.033794814555473]
197,"[1.0828633802738035, 0.7833565951670272]",[2.0213710424173237]
198,"[0.9483543290139422, 0.6898066537093385]",[2.0774261919314427]
199,"[0.5932538429676893, 0.43258927921442364]",[2.0268554380238415]
200,"[0.422326039081113, 0.3094056182156969]",[1.9458999675556006]
201,"[0.02380627514941691, 0.01755697791806246]",[1.9352533514197412]
202,"[-0.2812891151840406, -0.20981010959364868]",[1.821669144082016]
203,"[-0.4925844238717026, -0.3674126952584972]",[1.706291322403905]
204,"[-0.854085929798174, -0.6370522457511545]",[1.5235368510991267]
205,"[-0.9938428863317108, -0.7412952497777809]",[1.3392228054462054]
206,"[-1.0, -0.7458877655339599]",[1.1812369095362183]
207,"[-1.0, -0.7458877655339599]",[1.0560678340768346]
208,"[-1.0, -0.7458877655339599]",[0.9298516986777298]
209,"[-1.0, -0.7458877655339599]",[0.6266263088807763]
210,"[-1.0, -0.7458877655339599]",[0.4268373844180819]
211,"[-1.0, -0.7458877655339599]",[0.09741792987611995]
212,"[-0.9746988702350012, -0.7270159623880602]",[-0.023022301218701864]
213,"[-0.8176611499808395, -0.6098834481231364]",[0.036666855133589825]
214,"[-0.3554284972477611, -0.2654859549529127]",[0.05912885717389063]
215,"[-0.10374059715327344, -0.07987929715919781]",[-0.04368182181585204]
216,"[0.24042795272357703, 0.1894794301348106]",[-0.08257567968359673]
217,"[0.48205285170693213, 0.3799021644596523]",[-0.029427907031676935]
218,"[0.7974434899311914, 0.6284591135316002]",[-0.02083159545987292]
219,"[1.0, 0.7880923494476428]",[-0.027608470837642833]
220,"[1.0, 0.7880923494476428]",[0.02625489773543286]
221,"[1.0, 0.7880923494476428]",[0.10467920809780858]
222,"[1.0, 0.7880923494476428]",[0.1346609970106009]
223,"[1.0, 0.7880923494476428]",[0.3232178212615459]
224,"[1.0, 0.7880923494476428]",[0.4859728697898046]
225,"[1.0, 0.7880923494476428]",[0.6678085492064395]
226,"[1.0, 0.7880923494476428]",[0.6927732107019504]
227,"[1.0, 0.7880923494476428]",[0.8065880452055479]
228,"[1.0, 0.7880923494476428]",[0.8856900019676561]
229,"[1.0, 0.7880923494476428]",[0.9442460677802127]
230,"[1.0, 0.7880923494476428]",[0.9880618099179606]
231,"[1.0, 0.7880923494476428]",[1.0198875457147416]
232,"[1.0, 0.7880923494476428]",[1.0431827313356918]
233,"[1.0, 0.7880923494476428]",[1.0697535928617827]
234,"[1.0, 0.7880923494476428]",[1.07841405168953]
235,"[1.0, 0.7880923494476428]",[1.0785629861994825]
236,"[1.0, 0.7880923494476428]",[1.082426776967882]
237,"[1.0, 0.7880923494476428]",[1.0657707532155167]
238,"[1.0, 0.7880923494476428]",[1.0413869096293462]
239,"[1.0, 0.7880923494476428]",[1.0410291777258571]
240,"[1.0, 0.7880923494476428]",[1.0495613681526357]
241,"[1.0, 0.7880923494476428]",[1.0383199951253554]
242,"[1.0, 0.7880923494476428]",[1.008549993932243]
243,"[1.0, 0.7880923494476428]",[0.9920999518207807]
244,"[1.0, 0.7880923494476428]",[1.0006891034089267]
245,"[1.0, 0.7880923494476428]",[0.9965324750651671]
246,"[1.0, 0.7880923494476428]",[0.9924262944003988]
247,"[1.0, 0.7880923494476428]",[1.0010658027868142]
248,"[1.0, 0.7880923494476428]",[1.0079206472548496]
249,"[1.0, 0.7880923494476428]",[0.980885395428443]
250,"[1.0, 0.7880923494476428]",[0.979061143915273]
251,"[1.0, 0.7880923494476428]",[0.9869063309162827]
252,"[1.0, 0.7880923494476428]",[0.978593052578448]
253,"[1.0, 0.7880923494476428]",[0.9680629173535964]
254,"[1.0, 0.7880923494476428]",[0.9824577955231358]
255,"[1.0, 0.7880923494476428]",[1.0516896640657205]
256,"[1.0, 0.7880923494476428]",[1.083596425044758]
257,"[1.00750823737004, 0.7940095338768081]",[1.2087285536805608]
258,"[1.3089136799833194, 1.0315448572822143]",[1.2779003319348186]
259,"[1.3965058786193199, 1.1005755988985444]",[1.370798570339531]
260,"[1.4840980772553247, 1.169606340514878]",[1.4713041131773916]
261,"[1.5716902758913296, 1.2386370821312116]",[1.5029862603344395]
262,"[1.77076803731205, 1.3955287428520446]",[1.627928307598481]
263,"[2.3010576679793275, 1.8134459437723423]",[1.7252145350263035]
264,"[2.5585061633363995, 2.0163391333400575]",[1.7857802671158385]
