,joystick,executed
0,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
1,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
2,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
3,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
4,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
5,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
6,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
7,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
8,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
9,"[0.30000000000000004, 0.23642770483429287]",[0.8520292043685913]
10,"[0.30000000000000004, 0.23642770483429287]",[0.8610601387263644]
11,"[0.30000000000000004, 0.23642770483429287]",[0.8459210275824568]
12,"[0.30000000000000004, 0.23642770483429287]",[0.87318747427091]
13,"[0.5930678897075488, 0.46739226658157756]",[0.8601364478557952]
14,"[0.9490349834020358, 0.7479272097773151]",[0.8563858368030978]
15,"[1.0, 0.7880923494476428]",[0.8757040634239504]
16,"[1.0, 0.7880923494476428]",[0.8650254920554938]
17,"[1.0, 0.7880923494476428]",[0.8571368743916484]
18,"[1.0, 0.7880923494476428]",[0.8655431801180293]
19,"[1.0, 0.7880923494476428]",[0.883649570981788]
20,"[1.0, 0.7880923494476428]",[0.7946499556754714]
21,"[1.0, 0.7880923494476428]",[0.37374982796814105]
22,"[0.7876299261461661, -0.1477552531754035]",[0.09063399644009316]
23,"[0.2462370402237031, -0.18746708667958406]",[0.04195469917649443]
24,"[-0.2826847499858447, 0.22278168876936383]",[-0.10250101092549399]
25,"[-0.726889513385594, 0.5728560643929066]",[0.05259644778836075]
26,"[-1.0, 0.7880923494476428]",[0.6310421504720429]
27,"[-1.0, 0.7880923494476428]",[0.8164021863706435]
28,"[-1.0, 0.7880923494476428]",[0.9048843270096293]
29,"[-1.0, 0.7880923494476428]",[0.9678429058743198]
30,"[-1.0, 0.7880923494476428]",[0.8997957054205448]
31,"[-1.0, 0.7880923494476428]",[0.9224451586807497]
32,"[-1.0, 0.7880923494476428]",[0.9141519433762183]
33,"[-1.0, 0.7880923494476428]",[0.7418037936198983]
34,"[-0.8437706382454402, 0.4182939152239896]",[0.5964773180371239]
35,"[-0.2647957475591508, 0.024479407423416748]",[0.08250852853819868]
36,"[0.067958541326626, 0.08824456096259979]",[0.05859785701760824]
37,"[0.581290640893121, 0.45811070689338573]",[0.07445589959539771]
38,"[0.7977918869962917, 0.6287336825931759]",[0.26084945074591515]
39,"[0.8041627407073975, 0.6337545036623484]",[0.4175867719816662]
40,"[0.8041627407073975, 0.6337545036623484]",[0.5463731868037319]
41,"[0.7967660355347239, 0.6279252169046445]",[0.663941158613726]
42,"[0.7938474416732788, 0.6256250954112949]",[0.7020607979024444]
43,"[0.7938474416732788, 0.6256250954112949]",[0.748563006045946]
44,"[0.7938474416732788, 0.6256250954112949]",[0.7752439588043668]
45,"[0.7938474416732788, 0.6256250954112949]",[0.7929293888485475]
46,"[0.7938474416732788, 0.6256250954112949]",[0.7505613285416977]
47,"[0.8025030593837311, 0.6324465215086458]",[0.7837755092584362]
48,"[0.7938474416732788, 0.6256250954112949]",[0.7628641348083002]
49,"[0.7938474416732788, 0.6256250954112949]",[0.758025616822301]
50,"[0.7938474416732788, 0.6256250954112949]",[0.7518645891868407]
51,"[0.8005769102215895, 0.6309285380900671]",[0.7356440463902243]
52,"[0.7990534362182649, 0.6297278998834644]",[0.8407921110603022]
53,"[0.8041627407073975, 0.6337545036623484]",[0.9784356586200912]
54,"[1.1944663539124942, 0.9413497951910572]",[1.0406169384899027]
55,"[1.7808971599090726, 1.4035114268773756]",[1.2848590875623118]
56,"[2.2199427256443287, 1.749519878292243]",[1.3543874181685736]
57,"[2.645740965776017, 2.0850882137482962]",[1.4402042384792144]
58,"[3.062021439522981, 2.4131556703327193]",[1.6749040003257454]
59,"[3.350624323235146, 2.6406013950148046]",[1.7181123905728124]
60,"[3.939191474683948, 3.1044466642077975]",[1.7992002804331408]
61,"[4.020813703536987, 3.1687725183117426]",[1.7723122244934482]
62,"[4.020813703536987, 3.1687725183117426]",[1.8319064288336633]
63,"[4.020813703536987, 3.1687725183117426]",[1.9290605397390816]
64,"[4.020813703536987, 3.1687725183117426]",[1.741482153581881]
65,"[4.020813703536987, 3.1687725183117426]",[1.7690131732740466]
66,"[4.043503686279989, 2.5253710098100055]",[1.5290071374561327]
67,"[4.073935772964899, 0.27450396431639446]",[0.8273709855990472]
68,"[4.073935772964899, 0.0]",[0.3316707669166944]
69,"[4.073935772964899, 0.0]",[-0.10739292316063057]
70,"[4.073935772964899, 0.0]",[-0.2142218379421168]
71,"[4.073935772964899, 0.0]",[-0.08029535024698492]
72,"[4.073935772964899, 0.0]",[-0.029937540213840944]
73,"[4.073935772964899, 0.0]",[-0.04971946666653335]
74,"[4.073935772964899, 0.0]",[-0.0052013540372906186]
75,"[4.073935772964899, 0.0]",[0.05063603336553035]
76,"[4.073935772964899, 0.0]",[0.022560369685539768]
77,"[4.073935772964899, 0.0]",[-0.0070735481459791305]
78,"[4.073935772964899, 0.0]",[-0.00505811428990402]
79,"[4.073935772964899, 0.0]",[0.06694865476926053]
80,"[4.073935772964899, 0.0]",[0.056693895307829804]
81,"[4.073935772964899, 0.0]",[0.01380565381446041]
82,"[4.073935772964899, 0.8438272566822486]",[0.6304477967087653]
83,"[4.073935772964899, 3.1316717894202317]",[1.525527829801332]
84,"[3.588231983125606, 2.827858173944634]",[1.8929741375837141]
85,"[3.0813524280529845, 2.428390274500475]",[1.9081929239266289]
86,"[2.6013025541116326, 2.0500666414939905]",[2.0646603785065527]
87,"[2.1953948646965284, 1.730173896883977]",[2.004639263625432]
88,"[1.7387112653148173, 1.3702650460930383]",[1.9800414069008807]
89,"[1.4987918046845368, 1.181186354686709]",[1.952270945797522]
90,"[0.9342627624133534, 0.7362853354317845]",[1.8879524151345257]
91,"[0.9072542786598206, 0.7150001560154443]",[1.7495363287816141]
92,"[0.9072542786598206, 0.7150001560154443]",[1.5518643975474917]
93,"[0.9072542786598206, 0.7150001560154443]",[1.4836259235482316]
94,"[0.9072542786598206, 0.7150001560154443]",[1.2803259568697198]
95,"[0.9072542786598206, 0.7150001560154443]",[1.1746403236736542]
96,"[0.9072542786598206, 0.7150001560154443]",[0.7087219595629812]
97,"[0.9072542786598206, 0.7150001560154443]",[0.7333919218241534]
98,"[0.9072542786598206, 0.7150001560154443]",[0.7464077358493375]
99,"[0.9072542786598206, 0.7150001560154443]",[0.7143104690019704]
100,"[0.9784913147514162, 0.7711415191565564]",[0.7324589178616349]
101,"[0.9794304966926575, 0.7718816812591881]",[0.7602875302329415]
102,"[0.9794304966926575, 0.7718816812591881]",[0.7673353976652912]
103,"[0.9794304966926575, 0.7718816812591881]",[0.7777431904965951]
104,"[0.9794304966926575, 0.7718816812591881]",[0.8150014189490267]
105,"[0.9794304966926575, 0.7718816812591881]",[0.8162832053067504]
106,"[0.9794304966926575, 0.7718816812591881]",[0.8084785477703912]
107,"[0.9794304966926575, 0.7718816812591881]",[0.8232969485880224]
108,"[0.9794304966926575, 0.7718816812591881]",[0.8405120207400655]
109,"[0.9794304966926575, 0.7718816812591881]",[0.83470746657978]
110,"[0.9829723468287375, 0.7746729862543228]",[0.8442995000434342]
111,"[0.9897457957267761, 0.7800110895102417]",[0.8385664704311802]
112,"[0.9889498117729526, 0.7793837806459503]",[0.8490100874161604]
113,"[0.982322557399, 0.7741608921759948]",[0.8196552733083641]
114,"[0.9884325255092455, 0.7789761112990484]",[0.8295804101439832]
115,"[0.9794304966926575, 0.7718816812591881]",[0.8401112872007549]
116,"[0.9794304966926575, 0.7718816812591881]",[0.860473612299203]
117,"[0.9794304966926575, 0.7718816812591881]",[0.8164902122182962]
118,"[0.9794304966926575, 0.7718816812591881]",[0.8156428319996523]
119,"[0.9794304966926575, 0.7718816812591881]",[0.8317597937657512]
120,"[0.9794304966926575, 0.7718816812591881]",[0.809561146775373]
121,"[0.9794304966926575, 0.7718816812591881]",[0.8342751856175714]
122,"[0.9794304966926575, 0.7718816812591881]",[0.8641319713385447]
123,"[0.9794304966926575, 0.7718816812591881]",[0.8451354600191858]
124,"[0.9794304966926575, 0.7718816812591881]",[0.8228537275243558]
125,"[0.9834949867372644, 0.7750848747677489]",[0.8278639217616326]
126,"[0.989560828690363, 0.7798653184039445]",[0.811522574899785]
127,"[0.9794304966926575, 0.7718816812591881]",[0.8402457042813882]
128,"[0.9794304966926575, 0.7718816812591881]",[0.8372499622517304]
129,"[0.9794304966926575, 0.7718816812591881]",[0.8393018835366189]
130,"[0.9794304966926575, 0.7718816812591881]",[0.8388616661269854]
131,"[0.9794304966926575, 0.7718816812591881]",[0.8453347209585317]
132,"[0.9794304966926575, 0.7718816812591881]",[0.8392537030873004]
133,"[0.9798003822390681, 0.7721731852284855]",[0.8692374374243779]
134,"[0.9853795575132845, 0.776570090578323]",[0.8284800495510325]
135,"[0.9897457957267761, 0.7800110895102417]",[0.8265348683444576]
136,"[0.9897457957267761, 0.7800110895102417]",[0.5609972903941093]
137,"[0.9794304966926575, 0.0]",[0.1374211236756469]
138,"[0.9840830631636867, 0.0]",[0.08240587993449609]
139,"[0.9869256132301568, 0.0]",[0.09152927428016504]
140,"[0.9823334331665581, 0.0]",[0.0949082582443816]
141,"[0.9794304966926575, 0.0]",[0.06920668311046617]
142,"[0.987821961669892, 0.0]",[0.08105656495186561]
143,"[0.9846783013920314, 0.0]",[0.07852528215038895]
144,"[0.9794304966926575, 0.0]",[0.07428862680212903]
145,"[0.985623985629999, 0.0]",[0.07546535661735812]
146,"[0.9897457957267761, 0.3842383542831103]",[0.41187307511642957]
147,"[0.9875094437956602, 0.7782486376626567]",[0.7401732172062231]
148,"[0.9794304966926575, 0.7718816812591881]",[0.7609165713183871]
149,"[0.9794304966926575, 0.5532180781089667]",[0.3964107249257174]
150,"[0.9869716558514676, 0.0]",[0.09451610358415746]
151,"[0.9897457957267761, 0.0]",[0.08449053538748633]
152,"[0.9797250295887782, 0.0]",[0.13627319628991097]
153,"[0.9869112018688936, 0.0]",[0.07664073964043726]
154,"[0.9859825211899741, 0.0]",[0.07667917974910822]
155,"[0.9794304966926575, 0.0]",[0.08937066337375899]
156,"[0.9832959181237595, -0.29229124351291663]",[0.08855579685681943]
157,"[0.9875084845026787, -0.610832517012286]",[-0.46160541828969026]
158,"[0.9830708981885241, -0.7747506538269984]",[-0.7388218780574316]
159,"[0.9897457957267761, -0.7800110895102417]",[-0.7620447265779805]
160,"[0.9897457957267761, -0.7800110895102417]",[-0.7701236257804275]
161,"[0.9897457957267761, -0.7800110895102417]",[-0.4405151744818521]
162,"[0.9833474216852709, -0.2961857839421635]",[-0.14282906617263266]
163,"[0.9832177464856507, 0.0]",[-0.08243498664986143]
164,"[0.9897457957267761, 0.009929213397251228]",[-0.07011132392317515]
165,"[0.9897457957267761, 0.38354859363786453]",[0.454097620954583]
166,"[0.9867242007977227, 0.7776297936635249]",[0.758362691352249]
167,"[0.9794304966926575, 0.7718816812591881]",[0.811362565605298]
168,"[0.9794304966926575, 0.7718816812591881]",[0.5722296645878515]
169,"[0.9877485288347031, 0.0]",[0.1447328105751519]
170,"[0.9857916379202442, 0.0]",[0.07519495604484765]
171,"[0.9794304966926575, 0.0]",[0.09551660323206027]
172,"[1.0621061823615765, 0.0]",[0.10916914088973712]
173,"[1.6161502501915643, 0.1812933539721386]",[0.47115834478308327]
174,"[1.875663435277757, 1.462565999924651]",[0.8895342507371955]
175,"[2.4809730612328753, 1.955235888743327]",[1.2693894350290575]
176,"[2.704693138041071, 2.1315479696937056]",[0.9398382181617368]
177,"[3.207651313813258, 0.0]",[0.496584672990464]
178,"[3.770029830109261, 0.0]",[0.16950197869298297]
179,"[4.064236648551936, 0.0]",[0.07237773029850539]
180,"[4.073935772964899, 0.0]",[0.17775270676815058]
181,"[4.073935772964899, 0.0]",[0.038235030091100894]
182,"[4.073935772964899, 0.0]",[0.04458178772385036]
183,"[4.073935772964899, 0.0]",[0.012524152059111324]
184,"[4.073935772964899, 0.0]",[0.031382449825833214]
185,"[4.073935772964899, 0.0]",[0.01456030862651683]
186,"[4.073935772964899, 0.48012823208359523]",[0.49702361111769217]
187,"[4.073935772964899, 3.210637614814706]",[1.2574625086525584]
