,joystick,executed
0,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
1,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
2,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
3,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
4,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
5,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
6,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
7,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
8,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
9,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
10,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
11,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
12,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
13,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
14,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
15,"[0.30000000000000004, -0.23642770483429287]",[-1.060243844985962]
16,"[0.30000000000000004, -0.23642770483429287]",[-1.138955002891026]
17,"[0.30000000000000004, -0.23642770483429287]",[-1.233089260467726]
18,"[0.30000000000000004, -0.23642770483429287]",[-1.3874848533186337]
19,"[0.4522769634808539, -0.3564360147506719]",[-1.4926734565782578]
20,"[0.9022261310469084, -0.7110375113498149]",[-1.6273494573806335]
21,"[1.3486561927575038, -1.0628656275473742]",[-1.7041541255957264]
22,"[1.7999031515555115, -1.4184899034875997]",[-1.568850373692403]
23,"[2.249826872071898, -1.7730713454615834]",[-1.4493064767907924]
24,"[2.697257941586737, -2.125688348251405]",[-1.3285271762632431]
25,"[3.0, -2.3642770483429287]",[-1.2771862168473949]
26,"[3.0, -2.319218773420213]",[-0.6927485857945646]
27,"[3.0, 0.0]",[-0.26267333056379194]
28,"[3.0, 0.0]",[-0.10790205493097423]
29,"[3.0, 0.0]",[-0.09703311353297177]
30,"[3.0, 0.0]",[-0.08912799810116455]
31,"[3.0, 0.0]",[-0.13712508387864566]
32,"[3.0, -0.030268480052334085]",[-0.8318574710661519]
33,"[3.0, -2.068958663789982]",[-1.3693055685608542]
34,"[3.0, -2.3642770483429287]",[-1.5335083502382674]
35,"[3.0, -2.3642770483429287]",[-1.6285680413772956]
36,"[3.0, -2.3642770483429287]",[-1.6435893438014741]
37,"[3.0, -2.3642770483429287]",[-1.6153687884567784]
38,"[3.0, -2.3642770483429287]",[-1.587152178860899]
39,"[3.0, -2.3642770483429287]",[-1.558623260985599]
40,"[3.0, -2.3642770483429287]",[-1.5700460404267096]
41,"[3.0, -2.3642770483429287]",[-1.5615044856475546]
42,"[3.0, -2.3642770483429287]",[-1.5032667928565524]
43,"[3.0, -2.3642770483429287]",[-1.527200448846873]
44,"[3.0, -2.3642770483429287]",[-1.5764365948216261]
45,"[3.0, -2.3642770483429287]",[-1.563274127629267]
46,"[3.0, -2.3506857581894973]",[-1.4225831290011577]
47,"[3.0, -1.2618284509393032]",[-0.7234279925169622]
48,"[3.0, -0.02945226490432551]",[-0.24270857767775544]
49,"[3.0, 0.0]",[-0.1312766983911532]
50,"[3.0, 0.0]",[-0.11102546288671516]
51,"[3.0, 0.0]",[-0.0933752960811549]
52,"[3.0, 0.0]",[-0.09692590030838746]
53,"[3.0, -0.7477492975998248]",[-0.6924332610221428]
54,"[3.0, -2.226411826862708]",[-1.3623466251556497]
55,"[3.0, -2.3642770483429287]",[-1.5712707060764055]
56,"[3.0, -2.3642770483429287]",[-1.6772611015439063]
57,"[3.0, -2.3642770483429287]",[-1.6487067937920314]
58,"[3.0, -2.3642770483429287]",[-1.683208554007137]
59,"[3.0, -2.3642770483429287]",[-1.6275675439966915]
60,"[3.0, -2.3642770483429287]",[-1.6037616715224057]
61,"[3.0, -2.3642770483429287]",[-1.5779572911436757]
62,"[3.0, -1.0283138553001385]",[-0.8413079689372569]
63,"[3.0, 1.084270545151135]",[0.4160357927349968]
64,"[3.0, 2.3642770483429287]",[1.3305659852071183]
65,"[3.0, 2.3642770483429287]",[1.6661095816805211]
66,"[3.0, 2.3642770483429287]",[1.736924689697707]
67,"[3.0, 2.3642770483429287]",[1.773421649547291]
68,"[3.0, 2.3642770483429287]",[1.7183680263449246]
69,"[3.0, 2.3642770483429287]",[1.7295928880354838]
70,"[3.0, 2.3642770483429287]",[1.6959064928208452]
71,"[3.0, 2.3642770483429287]",[1.6965034667743835]
72,"[3.0, 2.3642770483429287]",[1.702165316385139]
73,"[3.0, 2.3642770483429287]",[1.7039539413072249]
74,"[3.0, 2.3642770483429287]",[1.6831894503215785]
75,"[3.0, 2.3642770483429287]",[1.743262574361927]
