,joystick,executed
0,"[0.0, -0.0]",[-0.0004741623997688]
1,"[0.0, -0.0]",[-0.0004741623997688]
2,"[0.0, -0.0]",[-0.0004741623997688]
3,"[0.0, -0.0]",[-0.0004741623997688]
4,"[0.0, -0.0]",[0.00040892398602840064]
5,"[0.0, -0.0]",[-0.0004083647151213908]
6,"[0.0, -0.0]",[0.0001761914641366807]
7,"[0.0, -0.0]",[-0.0011237630172784047]
8,"[0.0, 0.0]",[-0.0001947822544432976]
9,"[0.0, 0.0]",[-0.0002684356770330946]
10,"[0.0, 0.0]",[-0.00011929839664864592]
11,"[0.0, 0.0]",[0.0004688494968126451]
12,"[0.0, 0.0]",[0.0013009226347253996]
13,"[0.0, 0.0]",[0.02390066248159489]
14,"[0.04406422193621569, 0.023360869831244982]",[0.21030345560749117]
15,"[0.3962937089040315, 0.31231604012149844]",[0.00019977070238390228]
16,"[0.9580687724453683, 0.7550466698088893]",[0.07134395820430914]
17,"[1.0, 0.7880923494476428]",[0.015182342805636982]
18,"[1.0, 0.7880923494476428]",[0.02251564385781722]
19,"[1.0, 0.7880923494476428]",[0.020196634803235546]
20,"[1.0, 0.7880923494476428]",[0.08910813572077371]
21,"[1.0, 0.7880923494476428]",[0.1567748007905171]
22,"[1.0, 0.7880923494476428]",[0.5068588636633183]
23,"[1.0, 0.7880923494476428]",[0.7007476845734442]
24,"[1.0, 0.7880923494476428]",[0.800931076042089]
25,"[1.0, 0.7880923494476428]",[0.9348415283395495]
26,"[1.0, 0.7880923494476428]",[1.005328959752545]
27,"[1.0, 0.7880923494476428]",[1.07848638502134]
28,"[1.0, 0.7880923494476428]",[1.1350338533902338]
29,"[1.0, 0.7880923494476428]",[1.1438499093080352]
30,"[1.0, 0.7880923494476428]",[1.1959329070021028]
31,"[1.0, 0.7880923494476428]",[1.170876785282358]
32,"[1.0, 0.7880923494476428]",[1.159721656263192]
33,"[1.0, 0.7880923494476428]",[1.1085425594221545]
34,"[1.0, 0.7880923494476428]",[1.0941163631020392]
35,"[1.0, 0.7880923494476428]",[1.097733951560547]
36,"[1.0, 0.7880923494476428]",[1.0197282353413795]
37,"[1.0, 0.6180700735718998]",[0.3910804246486992]
38,"[1.0, 0.03823190063574866]",[-0.2892466584533791]
39,"[1.0, -0.569547097393367]",[-0.8085645545070101]
40,"[1.0, -0.7880923494476428]",[-0.8770950349944158]
41,"[1.0, -0.7880923494476428]",[-0.8775978331400094]
42,"[1.0, -0.7880923494476428]",[-0.9044388821116884]
43,"[1.0, -0.7880923494476428]",[-0.8996968900120634]
44,"[1.0, -0.7880923494476428]",[-0.8953351286114275]
45,"[1.0, -0.7880923494476428]",[-0.8950346014504236]
46,"[1.0, -0.7880923494476428]",[-0.8358826006808296]
47,"[1.0, -0.7880923494476428]",[-0.3444936036917846]
48,"[1.0, -0.04247006197684222]",[0.3387502639298918]
49,"[1.0, 0.7220366147351305]",[0.7900986294591354]
50,"[1.0, 0.7877326275367451]",[0.9059415366860121]
51,"[1.0, 0.7880923494476428]",[0.8975321118987392]
52,"[1.0, 0.7880923494476428]",[0.9161881110849768]
53,"[1.0, 0.7880923494476428]",[0.9318718994720111]
54,"[1.0, 0.7880923494476428]",[0.9334753926243756]
55,"[1.0, 0.7880923494476428]",[0.9166561939491282]
56,"[1.0, 0.7880923494476428]",[0.9622908210473361]
57,"[1.0, 0.7880923494476428]",[0.9472022668392719]
58,"[1.0, 0.7880923494476428]",[1.0074763491824121]
59,"[1.0, 0.7880923494476428]",[1.1766239893200734]
60,"[1.2423609589186362, 0.9790951669762145]",[1.1920377908919852]
61,"[1.742325941854947, 1.3731137450200424]",[1.2649738972385807]
62,"[2.1971408152890652, 1.7315498671884688]",[1.4587749791737372]
63,"[2.373083187753714, 1.8702087048715261]",[1.5300361174523656]
64,"[1.937185591369086, 1.5266811440181844]",[1.3801783645926504]
65,"[1.4515392898657178, 1.1439470092658364]",[1.30423326831992]
66,"[1.071031780487669, 0.8440719522176191]",[1.2057232313979716]
67,"[1.0, 0.7880923494476428]",[1.273890335321697]
68,"[1.2027957934763287, 0.9479141627865018]",[1.3689167916710272]
69,"[1.7312191235059777, 1.3643605464525148]",[1.4282008857192572]
70,"[2.125903658760802, 1.6754084091321402]",[1.5086687989307541]
71,"[2.603692053405062, 1.289239923727059]",[1.0293864248963354]
72,"[2.9968767805415246, -1.6032898734628027]",[0.20831477403725995]
73,"[3.542582288319676, -2.7918819987134604]",[-0.7874969608036096]
74,"[3.933240225406985, -3.099756530182967]",[-1.29132283997046]
75,"[4.219686714368594, -3.3255028166597493]",[-1.5099385725081007]
76,"[4.219686714368594, -3.3255028166597493]",[-1.6391661745617505]
77,"[4.219686714368594, -3.3255028166597493]",[-1.5711025005638628]
78,"[4.219686714368594, -1.420135179074806]",[-0.8195499616487962]
79,"[4.219686714368594, 1.3279300549538655]",[0.6083052763680853]
80,"[4.219686714368594, 3.3255028166597493]",[1.8149880739438113]
81,"[4.219686714368594, 3.3255028166597493]",[1.9355603656771463]
82,"[4.199542362388094, 3.020568130720836]",[1.1169780911124108]
83,"[3.8421905659010176, -1.5338770281035217]",[-0.3696663277725751]
