,joystick,executed
0,"[0.30000000000000004, 0.16889730166753808]",[-0.08323330602339729]
1,"[0.30000000000000004, 0.16889730166753808]",[-0.06937232899754239]
2,"[0.30000000000000004, 0.16889730166753808]",[0.17323410135946932]
3,"[0.30000000000000004, 0.16889730166753808]",[0.7460303303339568]
4,"[0.48082928009371273, 0.35211238782912613]",[0.8650508125679306]
5,"[1.1271318958536032, 0.888284023940642]",[1.1160935970567898]
6,"[1.6050159295185553, 1.2649007747951706]",[1.2757178475335351]
7,"[2.0377916702936694, 1.563796642194265]",[1.4614638136595903]
8,"[2.529796379768795, 1.9248165846021723]",[1.6588792467498752]
9,"[2.990316799380256, 2.356645792016342]",[1.7763247555679926]
10,"[3.4325557378045075, 2.7051709160163413]",[1.764983921921552]
11,"[3.7801185417661207, 1.1337319208969627]",[1.2164615243743455]
12,"[4.1491779694757795, -2.7492535195266505]",[0.2918552061515496]
13,"[4.219686714368594, -3.3255028166597493]",[-0.7562249596600275]
14,"[4.219686714368594, -3.3255028166597493]",[-1.488329717821408]
15,"[4.219686714368594, -3.3255028166597493]",[-1.523111919120428]
16,"[4.219686714368594, -3.3255028166597493]",[-1.4790330631452118]
17,"[4.219686714368594, -3.3255028166597493]",[-1.4477948979849646]
18,"[4.219686714368594, -3.3255028166597493]",[-1.2868072538691144]
19,"[4.219686714368594, -3.3255028166597493]",[-1.1887165007840805]
20,"[4.219686714368594, -3.3255028166597493]",[-1.1738423022598237]
21,"[4.219686714368594, -3.3255028166597493]",[-1.124918570400828]
22,"[4.219686714368594, -3.3255028166597493]",[-1.1900098054687405]
23,"[4.219686714368594, -3.3255028166597493]",[-1.111249779775442]
24,"[4.219686714368594, -1.9680181444541271]",[-0.19413204104930387]
25,"[4.219686714368594, 1.9721741654894411]",[1.0906453003313787]
26,"[4.219686714368594, 2.8846415657672506]",[1.6584073364057086]
27,"[4.219686714368594, 3.234288225059462]",[1.7206142647957765]
28,"[4.219686714368594, 3.3255028166597493]",[1.7427515395430393]
29,"[4.21965544451319, 3.3254781731259375]",[1.5849680869660365]
30,"[4.06994570118383, 3.207493069770299]",[1.4320847348626826]
31,"[3.5855142408066887, 2.8257163420153244]",[1.5017942506162891]
32,"[3.121801094004098, 2.4602675586819114]",[1.9141209167821471]
33,"[2.709783226972241, 2.135559429838368]",[2.1226806599241947]
34,"[2.2511684849869584, 1.7741286603358626]",[2.154452624529668]
35,"[1.9126428684388366, 1.5073392118422415]",[2.227096205512445]
36,"[1.447116143070857, 1.140461161116323]",[2.0935926493054557]
37,"[0.9175695180892944, 0.7231295172925334]",[2.0596381042863414]
38,"[0.9175695180892944, 0.7231295172925334]",[1.9356086933971235]
39,"[0.9238409804203496, 0.7280720087754871]",[1.8633904375051422]
40,"[0.7938474416732788, 0.6256250954112949]",[1.7420551901185741]
41,"[0.7938474416732788, 0.6256250954112949]",[1.5618610719672572]
42,"[0.7938474416732788, 0.6256250954112949]",[1.4035814485530234]
43,"[0.7938474416732788, 0.6256250954112949]",[1.3184778919857965]
44,"[0.7792030519588761, 0.6140839639150444]",[1.0676285586446874]
45,"[0.6804406642913818, 0.5362500817811099]",[0.7216826558437229]
46,"[0.6804406642913818, 0.5362500817811099]",[0.5859473402756965]
47,"[0.6804406642913818, 0.5362500817811099]",[0.6073475132686056]
48,"[0.6866714606337457, 0.5411605247094932]",[0.5472494450233615]
49,"[0.6947686528667455, 0.5475418599603272]",[0.5556629288388043]
50,"[0.7010712027549744, 0.5525088513092525]",[0.5307092462674006]
51,"[0.7010712027549744, 0.5525088513092525]",[0.5332334081376698]
52,"[0.7010712027549744, 0.5525088513092525]",[0.5632113003371129]
53,"[0.7010712027549744, 0.5525088513092525]",[0.5643578083968888]
