,joystick,executed
0,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
1,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
2,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
3,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
4,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
5,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
6,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
7,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
8,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
9,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
10,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
11,"[0.30000000000000004, 0.23642770483429287]",[0.0638602375984191]
12,"[0.4345658101063763, 0.3424779902763523]",[0.0638602375984191]
13,"[0.8891614377027218, 0.700741326477382]",[0.0638602375984191]
14,"[1.0, 0.7880923494476428]",[0.0638602375984191]
15,"[1.0, 0.7880923494476428]",[0.0638602375984191]
16,"[1.0, 0.7880923494476428]",[0.0638602375984191]
17,"[1.0, 0.6898334059929652]",[0.0638602375984191]
18,"[1.0, 0.0]",[0.0638602375984191]
19,"[1.0, 0.0]",[0.0638602375984191]
20,"[1.0, 0.0]",[0.0638602375984191]
21,"[1.0, 0.0]",[0.0638602375984191]
22,"[1.0, 0.0]",[0.0638602375984191]
23,"[1.0, 0.0]",[0.0638602375984191]
24,"[1.0, 0.0]",[0.10732685399778777]
25,"[1.0, 0.0]",[0.09579145257758784]
26,"[1.0, 0.0]",[0.09497315515051649]
27,"[1.0, 0.0]",[0.12041880434006728]
28,"[1.0, 0.0]",[0.13456857730683655]
29,"[1.0, 0.0]",[0.3781357392910572]
30,"[1.0, 0.10340616316925619]",[0.7812555620840211]
31,"[1.0, 0.6331372260227703]",[0.8571932892132708]
32,"[1.0, 0.7880923494476428]",[0.8671440563305803]
33,"[1.0, 0.7880923494476428]",[0.8611811619101526]
34,"[1.0, 0.7880923494476428]",[0.9084831494781013]
35,"[1.0, 0.7880923494476428]",[0.9040473463463786]
36,"[1.0, 0.7880923494476428]",[0.889091222925558]
37,"[1.0, 0.7880923494476428]",[0.9033684957102269]
38,"[1.0, 0.7880923494476428]",[0.8929926022392094]
39,"[1.0, 0.7880923494476428]",[0.8918957930750828]
40,"[1.0, 0.7880923494476428]",[0.9135680504672684]
41,"[1.0, 0.7880923494476428]",[0.8738637414387095]
42,"[1.0, 0.7880923494476428]",[0.8687155245497652]
43,"[1.0, 0.7880923494476428]",[0.8847429535332263]
44,"[1.0, 0.7880923494476428]",[0.8699709021184238]
45,"[1.0, 0.7880923494476428]",[0.8671868549731632]
46,"[1.0, 0.7880923494476428]",[0.8971790402698854]
47,"[1.0, 0.7880923494476428]",[0.8822275879602007]
48,"[1.0, 0.7880923494476428]",[0.8811957829599033]
49,"[1.0, 0.7880923494476428]",[0.8592148346513433]
50,"[1.0, 0.7880923494476428]",[0.8689622278072731]
51,"[1.0, 0.7880923494476428]",[0.8542336146185076]
52,"[1.0, 0.7880923494476428]",[0.8874822092807135]
53,"[1.0, 0.7880923494476428]",[0.8888607181965053]
54,"[1.0, 0.7880923494476428]",[0.8628469591134088]
55,"[1.0, 0.7880923494476428]",[0.9069344308146139]
56,"[1.0, 0.7880923494476428]",[0.8662303291246174]
57,"[1.0, 0.7880923494476428]",[0.8733164631281937]
58,"[1.0, 0.7880923494476428]",[0.8929642068764814]
59,"[1.0, 0.7880923494476428]",[0.8513626112409227]
60,"[1.0, 0.7880923494476428]",[0.8930214177306943]
61,"[1.0, 0.7880923494476428]",[0.9048367467738933]
62,"[1.0, 0.7880923494476428]",[0.8899644558799035]
