,joystick,executed
0,"[0.0, -0.0]",[0.0197860393673181]
1,"[0.0, -0.0]",[0.0197860393673181]
2,"[0.0, -0.0]",[0.0197860393673181]
3,"[0.0, -0.0]",[0.0197860393673181]
4,"[0.0, -0.0]",[0.0197860393673181]
5,"[0.0, -0.0]",[0.0197860393673181]
6,"[0.0, -0.0]",[0.0197860393673181]
7,"[0.0, -0.0]",[0.0197860393673181]
8,"[0.0, -0.0]",[0.0466645559715028]
9,"[0.0, -0.0]",[0.024694312680047292]
10,"[0.0, 0.0]",[0.014361329460603017]
11,"[0.0, 0.0]",[0.053617197908703916]
12,"[0.0, 0.0]",[0.03569584542757819]
13,"[0.0, 0.0]",[0.0398106507925476]
14,"[0.0, 0.0]",[0.05842783218800286]
15,"[0.0, 0.0]",[-0.3995765034247933]
16,"[0.0, 0.0]",[-0.7916478819711898]
17,"[0.0, 0.0]",[-0.8471833507195654]
18,"[0.08684028562130303, 0.0]",[-0.8886976493577032]
19,"[0.6154770969193524, 0.0]",[-0.8520469589026702]
20,"[0.9549908866730996, 0.0]",[-0.8658801261650214]
21,"[1.01179245334572, 0.0]",[-0.879818793460779]
22,"[1.4042291931319932, 0.0]",[-0.8798142377917035]
23,"[1.9160564521286816, 0.0]",[-0.6699235817385011]
24,"[2.363520160687196, 0.0]",[-0.2077707135688271]
25,"[2.8150095213642294, 0.0]",[-0.11240518907984554]
26,"[3.2632421208328592, 0.0]",[-0.06267336613742627]
27,"[3.7121973914483872, 0.0]",[-0.11462268666216596]
28,"[4.040441797427955, 0.0]",[-0.11558899057967503]
29,"[4.073935772964899, 0.0]",[-0.10877743598653711]
30,"[4.073935772964899, 0.0]",[-0.0901531729972284]
31,"[4.073935772964899, 0.0]",[-0.09163192704996745]
32,"[4.073935772964899, 0.0]",[-0.0536913679900933]
33,"[4.073935772964899, 0.0]",[-0.0957782695357328]
34,"[4.073935772964899, 0.0]",[-0.08429560204303507]
35,"[4.073935772964899, 0.0]",[-0.08868359894520238]
36,"[4.073935772964899, 0.0]",[-0.07166574710373863]
37,"[4.073935772964899, 0.02067247199267357]",[-0.059168818475172205]
38,"[4.073935772964899, 0.5071369992522522]",[-0.06342786396558572]
39,"[4.073935772964899, 0.0]",[-0.06097643289123611]
40,"[4.073935772964899, 0.0]",[-0.07104892885898335]
41,"[4.073935772964899, 0.0]",[-0.07230121115254198]
42,"[4.073935772964899, 0.0842587608576914]",[-0.06319678329305334]
43,"[4.073935772964899, 0.5113068894522297]",[-0.03713453876342197]
44,"[4.073935772964899, 0.6813172354973224]",[-0.0909994606321088]
45,"[4.073935772964899, 1.2766444280429965]",[0.33873264928941793]
46,"[4.073935772964899, 2.726971764557229]",[0.7902463601626702]
47,"[4.073935772964899, 0.0]",[0.8576633239044372]
48,"[4.073935772964899, 0.0]",[0.8706537248545175]
49,"[4.073935772964899, 0.0]",[0.8580842246499697]
50,"[4.073935772964899, 0.0]",[0.7490528486250795]
51,"[4.073935772964899, 0.0]",[0.2190104510158463]
52,"[4.073935772964899, 0.0]",[0.10394911015486455]
53,"[4.073935772964899, -0.041400298072849]",[0.12238005839295395]
54,"[4.073935772964899, -1.2161725480126861]",[0.10633486640332432]
55,"[4.073935772964899, -1.344938321405016]",[0.1355653656428448]
56,"[4.073935772964899, 0.0]",[0.10744354352076366]
57,"[4.073935772964899, 0.0]",[0.5728210584103302]
58,"[4.073935772964899, 0.0]",[1.074505573500447]
59,"[4.073935772964899, 0.0]",[1.5191497246886545]
60,"[4.073935772964899, 0.0]",[1.6971617058086426]
61,"[4.073935772964899, -0.8397528013810285]",[1.1832658128694953]
62,"[4.073935772964899, -0.8580766556648036]",[0.5636657073076495]
63,"[4.073935772964899, 0.0]",[0.12097869801686213]
64,"[4.073935772964899, 0.0]",[0.07792075156136596]
65,"[4.073935772964899, 0.0]",[0.08617988151328496]
66,"[4.073935772964899, 0.0]",[0.08134911779462688]
67,"[4.073935772964899, 0.0]",[0.054706668463034076]
68,"[4.073935772964899, 0.0]",[0.05651699519243713]
