,joystick,executed
0,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
1,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
2,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
3,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
4,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
5,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
6,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
7,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
8,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
9,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
10,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
11,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
12,"[0.30000000000000004, -0.23642770483429287]",[-0.8365949988365173]
13,"[0.3262168991657727, -0.25708904249307857]",[-0.8290359788316181]
14,"[0.7408326804292777, -0.5838445676671042]",[-0.8421366357149427]
15,"[0.9779428336206232, -0.7707092653735622]",[-0.8190046627650626]
16,"[1.0, -0.7880923494476428]",[-0.8289633432226795]
17,"[1.0, -0.7880923494476428]",[-0.8388493928596449]
18,"[1.0, -0.7880923494476428]",[-0.8340745062179972]
19,"[1.0, -0.7880923494476428]",[-0.8329807002420323]
20,"[1.0, -0.7880923494476428]",[-0.8462873025798658]
21,"[1.0, -0.7880923494476428]",[-0.8313850983674946]
22,"[1.0, -0.7880923494476428]",[-0.8311587675730167]
23,"[1.0, -0.7880923494476428]",[-0.8153607133068621]
24,"[1.0, -0.7880923494476428]",[-0.8338793949504187]
25,"[1.0, -0.7880923494476428]",[-0.8156983340160671]
26,"[1.0, -0.7880923494476428]",[-0.8141386695018049]
27,"[1.0, -0.7880923494476428]",[-0.8260049932894761]
28,"[1.0, -0.7880923494476428]",[-0.8260011735423326]
29,"[1.0, -0.7880923494476428]",[-0.8081528117773955]
30,"[1.0, -0.7880923494476428]",[-0.8020206145710742]
31,"[1.0, -0.7880923494476428]",[-0.8196574179543984]
32,"[1.0, -0.7880923494476428]",[-0.8093223322296701]
33,"[1.0, -0.7880923494476428]",[-0.8124944729928423]
34,"[1.0, -0.7880923494476428]",[-0.8153988237161114]
35,"[1.0, -0.7880923494476428]",[-0.8032432380337204]
36,"[1.0, -0.7880923494476428]",[-0.8090545446874081]
37,"[1.0, -0.7880923494476428]",[-0.8133947004716592]
38,"[1.0, -0.7880923494476428]",[-0.8155307251063187]
39,"[1.0, -0.7880923494476428]",[-0.8024587621639251]
40,"[1.0, -0.7880923494476428]",[-0.7926807616546108]
41,"[1.0, -0.7880923494476428]",[-0.8153972151937253]
42,"[1.0, -0.7880923494476428]",[-0.8096817856311862]
43,"[1.0, -0.7880923494476428]",[-0.8036019193362288]
44,"[1.0, -0.7880923494476428]",[-0.8088192021843005]
45,"[1.0, -0.7880923494476428]",[-0.7829500395253772]
46,"[1.0, -0.7880923494476428]",[-0.7965311814477916]
47,"[1.0, -0.7880923494476428]",[-0.8016449930271405]
48,"[1.0, -0.7880923494476428]",[-0.8031997354888554]
49,"[1.0, -0.7880923494476428]",[-0.8187342796788468]
50,"[1.0, -0.7880923494476428]",[-0.8150252125352897]
